,Player,First year,Last year,Position,Height,Weight,Birth Date,College,id
0,Alaa Abdelnaby,1991,1995,F-C,6-10,240,"June 24, 1968",Duke University,abdelal01
1,Zaid Abdul-Aziz,1969,1978,C-F,6-9,235,"April 7, 1946",Iowa State University,abdulza01
2,Kareem Abdul-Jabbar,1970,1989,C,7-2,225,"April 16, 1947","University of California, Los Angeles",abdulka01
3,Mahmoud Abdul-Rauf,1991,2001,G,6-1,162,"March 9, 1969",Louisiana State University,abdulma02
4,Tariq Abdul-Wahad,1998,2003,F,6-6,223,"November 3, 1974",San Jose State University,abdulta01
5,Shareef Abdur-Rahim,1997,2008,F,6-9,225,"December 11, 1976",University of California,abdursh01
6,Tom Abernethy,1977,1981,F,6-7,220,"May 6, 1954",Indiana University,abernto01
7,Forest Able,1957,1957,G,6-3,180,"July 27, 1932",Western Kentucky University,ablefo01
8,John Abramovic,1947,1948,F,6-3,195,"February 9, 1919",Salem International University,abramjo01
9,Alex Abrines,2017,2018,G-F,6-6,190,"August 1, 1993",,abrinal01
10,Alex Acker,2006,2009,G,6-5,185,"January 21, 1983",Pepperdine University,ackeral01
11,Don Ackerman,1954,1954,G,6-0,183,"September 4, 1930",Long Island University,ackerdo01
12,Mark Acres,1988,1993,F-C,6-11,220,"November 15, 1962",Oral Roberts University,acresma01
13,Bud Acton,1968,1968,F,6-6,210,"January 11, 1942",Hillsdale College,actonbu01
14,Quincy Acy,2013,2018,F,6-7,240,"October 6, 1990",Baylor University,acyqu01
15,Alvan Adams,1976,1988,C-F,6-9,210,"July 19, 1954",University of Oklahoma,adamsal01
16,Don Adams,1971,1977,F,6-6,210,"November 27, 1947",Northwestern University,adamsdo01
17,George Adams,1973,1975,F-G,6-5,210,"May 15, 1949",Gardner-Webb University,adamsge01
18,Hassan Adams,2007,2009,G,6-4,220,"June 20, 1984",University of Arizona,adamsha01
19,Jordan Adams,2015,2016,G,6-5,209,"July 8, 1994","University of California, Los Angeles",adamsjo01
20,Michael Adams,1986,1996,G,5-10,162,"January 19, 1963",Boston College,adamsmi01
