primaryKey,teamId,games,bin,attempts,made,value,pointsAvg,pointsStDev,expectedPointsAvg,expectedPointsStDev,season,dt,primaryKey,teamId,teamName,teamAbbreviation,teamCity,season
1610612737_10_Total_2017-18,1610612737,10,Total,886,402,3,1.0383747178329572,1.179535461414054,1.0231604373632581,0.2664942666604537,2017-18,2017-12-18T08:16:25.726,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_11_Total_2017-18,1610612737,11,Total,967,441,3,1.046535677352637,1.1836991317290815,1.0233745154112164,0.2656505265190258,2017-18,2017-12-18T08:16:25.726,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_12_Total_2017-18,1610612737,12,Total,1056,480,3,1.043560606060606,1.1838545368873337,1.0205365463202205,0.2619186848627466,2017-18,2017-12-18T08:16:25.726,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_13_Total_2017-18,1610612737,13,Total,1134,522,3,1.0520282186948853,1.179607120459749,1.0206571362792525,0.2590505130203915,2017-18,2017-12-18T08:16:25.726,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_14_Total_2017-18,1610612737,14,Total,1209,563,3,1.065343258891646,1.1822501301247432,1.0249896263670153,0.2559062104945224,2017-18,2017-12-18T08:16:25.726,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_15_Total_2017-18,1610612737,15,Total,1297,594,3,1.0454895913646878,1.1775057319330424,1.0230950457867718,0.2614982401241329,2017-18,2017-12-18T08:16:25.726,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_16_Total_2017-18,1610612737,16,Total,1379,633,3,1.0514865844815084,1.1822179142963087,1.0225260021266378,0.2628363002233059,2017-18,2017-12-18T08:16:25.726,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_17_Total_2017-18,1610612737,17,Total,1468,673,3,1.0490463215258856,1.1806998873601813,1.0227996081179915,0.2602132154660173,2017-18,2017-12-18T08:16:25.726,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_18_Total_2017-18,1610612737,18,Total,1544,717,3,1.064119170984456,1.1840510186701554,1.0242775994870135,0.262371260424852,2017-18,2017-12-18T08:16:25.726,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_19_Total_2017-18,1610612737,19,Total,1623,757,3,1.069008009858287,1.1847956225521086,1.0241795554181992,0.25918529773601556,2017-18,2017-12-18T08:16:25.726,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_1_Total_2017-18,1610612737,1,Total,86,38,3,1.0813953488372092,1.2595229465959017,1.0403544726243927,0.2320905048826961,2017-18,2017-12-18T08:16:25.726,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_20_Total_2017-18,1610612737,20,Total,1707,803,3,1.0779144698301113,1.1854016781473455,1.0250986668504054,0.2635236249645867,2017-18,2017-12-18T08:16:25.726,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_21_Total_2017-18,1610612737,21,Total,1786,844,3,1.0862262038073909,1.1898980271490724,1.0288566732693865,0.262223715933192,2017-18,2017-12-18T08:16:25.726,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_22_Total_2017-18,1610612737,22,Total,1868,878,3,1.0840471092077089,1.19371224815681,1.029149078390791,0.2597168597098679,2017-18,2017-12-18T08:16:25.726,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_23_Total_2017-18,1610612737,23,Total,1953,919,3,1.0865335381464414,1.1953091093515273,1.0288926373049163,0.2619201459401344,2017-18,2017-12-18T08:16:25.726,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_24_Total_2017-18,1610612737,24,Total,2060,969,3,1.0825242718446602,1.1909796232526901,1.0266162709886457,0.2617199811303956,2017-18,2017-12-18T08:16:25.726,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_25_Total_2017-18,1610612737,25,Total,2152,1014,3,1.0841078066914498,1.1908449733107689,1.0245979703051493,0.2596094369281946,2017-18,2017-12-18T08:16:25.726,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_26_Total_2017-18,1610612737,26,Total,2232,1053,3,1.082437275985663,1.1873797885237716,1.0229508473025746,0.2582807132845231,2017-18,2017-12-18T08:16:25.726,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_27_Total_2017-18,1610612737,27,Total,2318,1101,3,1.092320966350302,1.1910370103983052,1.0246603457454773,0.2608157660452662,2017-18,2017-12-18T08:16:25.726,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_28_Total_2017-18,1610612737,28,Total,2408,1142,3,1.0909468438538206,1.1912406360548435,1.0232247141189816,0.2607570605454116,2017-18,2017-12-18T08:16:25.726,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_29_Total_2017-18,1610612737,29,Total,2486,1178,3,1.090506838294449,1.191724610308799,1.022654460141581,0.25993510151199584,2017-18,2017-12-18T08:16:25.726,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_2_Total_2017-18,1610612737,2,Total,172,75,3,1.0348837209302326,1.219489737159488,1.0242131190439239,0.2544964646264244,2017-18,2017-12-18T08:16:25.726,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_3_Total_2017-18,1610612737,3,Total,259,116,3,1.0463320463320462,1.2039895320226561,1.0216611854559405,0.2565943631735345,2017-18,2017-12-18T08:16:25.726,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_4_Total_2017-18,1610612737,4,Total,344,155,3,1.055232558139535,1.2079564010538366,1.0168662561228863,0.2588402798721967,2017-18,2017-12-18T08:16:25.726,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_5_Total_2017-18,1610612737,5,Total,430,186,3,1.0046511627906978,1.1910428278813014,1.0142821222038878,0.26315410136360345,2017-18,2017-12-18T08:16:25.726,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_6_Total_2017-18,1610612737,6,Total,521,228,3,0.9980806142034548,1.1698369069638874,1.01230303923876,0.2563477351537906,2017-18,2017-12-18T08:16:25.726,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
