primaryKey,id,bin,attempts,made,value,pointsAvg,pointsStDev,expectedPointsAvg,expectedPointsStDev,season,dt,primaryKey,playerName
101106_Total_2017-18,101106,Total,242,111,2,1.0413223140495869,1.1705525587549976,0.9862965862718527,0.27992286254291315,2017-18,2017-12-18T08:16:44.367,101106,"Andrew Bogut"
101107_Total_2017-18,101107,Total,1428,638,3,1.0196078431372548,1.1737831115635067,1.0002184275284716,0.2566483177366488,2017-18,2017-12-18T08:16:44.367,101107,"Marvin Williams"
101108_Total_2017-18,101108,Total,771,363,3,1.053177691309987,1.154037470510164,1.0240874304770744,0.2586613395178878,2017-18,2017-12-18T08:16:44.367,101108,"Chris Paul"
101109_Total_2017-18,101109,Total,758,347,2,1.0527704485488127,1.1869392479991028,1.0050246084574024,0.3055035428328736,2017-18,2017-12-18T08:16:44.367,101109,"Raymond Felton"
101112_Total_2017-18,101112,Total,640,274,3,0.9859375,1.178501059012566,0.9761994147544778,0.2991345902873809,2017-18,2017-12-18T08:16:44.367,101112,"Channing Frye"
101127_Total_2017-18,101127,Total,1283,578,2,1.0405300077942323,1.1903392756967854,1.0166247135882498,0.26989006279661826,2017-18,2017-12-18T08:16:44.367,101127,"Jarrett Jack"
101133_Total_2017-18,101133,Total,704,322,2,1.0369318181818181,1.1683806372638452,1.0048804044733104,0.2812362613349966,2017-18,2017-12-18T08:16:44.367,101133,"Ian Mahinmi"
101139_Total_2017-18,101139,Total,772,349,3,1.0142487046632125,1.153303019697964,1.0040094118508829,0.29312990968804803,2017-18,2017-12-18T08:16:44.367,101139,"CJ Miles"
101141_Total_2017-18,101141,Total,700,331,2,1.0814285714285714,1.1834323998006686,1.011187430756698,0.24020655307806943,2017-18,2017-12-18T08:16:44.367,101141,"Ersan Ilyasova"
101150_Total_2017-18,101150,Total,1510,702,3,1.0496688741721854,1.1649616525641806,1.0089323305040876,0.2763490300635022,2017-18,2017-12-18T08:16:44.367,101150,"Lou Williams"
101161_Total_2017-18,101161,Total,719,326,3,1.023643949930459,1.161863912356409,0.9676127802911689,0.2774833764661685,2017-18,2017-12-18T08:16:44.367,101161,"Amir Johnson"
101162_Total_2017-18,101162,Total,1502,680,2,1.01797603195739,1.1563852280694131,1.0050072422601513,0.28479255397413333,2017-18,2017-12-18T08:16:44.367,101162,"Marcin Gortat"
101181_Total_2017-18,101181,Total,669,325,3,1.1225710014947683,1.199120989641513,1.0029959860653228,0.29671131513670124,2017-18,2017-12-18T08:16:44.367,101181,"Jose Calderon"
1626144_Total_2017-18,1626144,Total,1127,538,2,1.0940550133096716,1.1870456375754639,1.006704964671804,0.29902621982826855,2017-18,2017-12-18T08:16:44.367,1626144,"Emmanuel Mudiay"
1626145_Total_2017-18,1626145,Total,884,424,2,1.0769230769230769,1.1606136379981433,1.0055517587206853,0.29074456038411783,2017-18,2017-12-18T08:16:44.367,1626145,"Tyus Jones"
1626147_Total_2017-18,1626147,Total,224,105,2,1.0803571428571428,1.1925242799051363,0.9860414700334317,0.3073593850040998,2017-18,2017-12-18T08:16:44.367,1626147,"Justin Anderson"
1626149_Total_2017-18,1626149,Total,453,190,2,0.9580573951434879,1.1644126038211644,0.9897020109047437,0.31151819046985146,2017-18,2017-12-18T08:16:44.367,1626149,"Montrezl Harrell"
1626150_Total_2017-18,1626150,Total,732,342,2,1.0819672131147542,1.1982922543327483,1.0220338450879491,0.24104705396400156,2017-18,2017-12-18T08:16:44.367,1626150,"Andrew Harrison"
1626153_Total_2017-18,1626153,Total,531,246,3,1.0470809792843692,1.1659182228156435,0.9997351979798569,0.2916192603871936,2017-18,2017-12-18T08:16:44.367,1626153,"Delon Wright"
1626155_Total_2017-18,1626155,Total,531,225,2,0.9585687382297552,1.153957011279651,0.9818903076146015,0.31311409324520434,2017-18,2017-12-18T08:16:44.367,1626155,"Sam Dekker"
1626156_Total_2017-18,1626156,Total,659,312,2,1.0515933232169954,1.1451857580104394,0.9961816453151592,0.2482769026309535,2017-18,2017-12-18T08:16:44.367,1626156,"DAngelo Russell"
1626157_Total_2017-18,1626157,Total,1838,880,3,1.0837867247007618,1.1711755866820552,1.0169887575364214,0.2696456675339859,2017-18,2017-12-18T08:16:44.367,1626157,"Karl-Anthony Towns"
1626158_Total_2017-18,1626158,Total,411,187,3,1.0413625304136254,1.180021069735362,1.005626697494307,0.2903644299018475,2017-18,2017-12-18T08:16:44.367,1626158,"Richaun Holmes"
1626159_Total_2017-18,1626159,Total,1101,498,3,1.0163487738419619,1.1553711876942807,1.0037949509881345,0.26927808464163333,2017-18,2017-12-18T08:16:44.367,1626159,"Justise Winslow"
1626161_Total_2017-18,1626161,Total,1060,516,3,1.131132075471698,1.2064186206356529,1.0236508089966159,0.24506957943859223,2017-18,2017-12-18T08:16:44.367,1626161,"Willie Cauley-Stein"
1626162_Total_2017-18,1626162,Total,1440,649,2,1.0159722222222223,1.159092269026637,1.0078613221623025,0.2837885156032198,2017-18,2017-12-18T08:16:44.367,1626162,"Kelly Oubre Jr."
1626163_Total_2017-18,1626163,Total,1051,496,3,1.0789724072312084,1.1828320327490491,1.0137187564194254,0.26093490655896484,2017-18,2017-12-18T08:16:44.367,1626163,"Frank Kaminsky"
1626164_Total_2017-18,1626164,Total,1588,745,2,1.0610831234256928,1.1681852427386916,1.0109893347624865,0.2693493977335819,2017-18,2017-12-18T08:16:44.367,1626164,"Devin Booker"
1626167_Total_2017-18,1626167,Total,1280,579,3,1.0390625,1.183891515762213,1.010443570547405,0.2692810253716337,2017-18,2017-12-18T08:16:44.367,1626167,"Myles Turner"
1626168_Total_2017-18,1626168,Total,642,317,2,1.1261682242990654,1.1832030382163987,1.0080673784749352,0.2823166930675529,2017-18,2017-12-18T08:16:44.367,1626168,"Trey Lyles"
1626169_Total_2017-18,1626169,Total,1321,623,2,1.0787282361847086,1.1833478289826382,1.0155291518143383,0.2682646779366551,2017-18,2017-12-18T08:16:44.367,1626169,"Stanley Johnson"
1626170_Total_2017-18,1626170,Total,1157,552,2,1.097666378565255,1.1920087195877156,1.0259058443048958,0.27751911245079275,2017-18,2017-12-18T08:16:44.367,1626170,"Jerian Grant"
1626171_Total_2017-18,1626171,Total,733,349,2,1.1091405184174625,1.207790061606269,1.0107407856632948,0.2990762776948251,2017-18,2017-12-18T08:16:44.367,1626171,"Bobby Portis"
1626172_Total_2017-18,1626172,Total,384,167,3,0.9921875,1.169241833344903,0.9936406865230042,0.2826880113679148,2017-18,2017-12-18T08:16:44.367,1626172,"Kevon Looney"
1626173_Total_2017-18,1626173,Total,256,117,2,1.015625,1.1421223049109057,1.017029348862,0.3059729084032558,2017-18,2017-12-18T08:16:44.367,1626173,"Rashad Vaughn"
1626175_Total_2017-18,1626175,Total,142,65,2,1.0352112676056338,1.1652961409920959,1.0722551188824698,0.37703729830548094,2017-18,2017-12-18T08:16:44.367,1626175,"Jordan Mickey"
1626177_Total_2017-18,1626177,Total,127,51,2,0.9448818897637795,1.1925430157095753,0.9610345003613514,0.32297999983376413,2017-18,2017-12-18T08:16:44.367,1626177,"Dakari Johnson"
1626178_Total_2017-18,1626178,Total,1398,666,2,1.053648068669528,1.1400425395677716,0.9832644603652255,0.25938197341447133,2017-18,2017-12-18T08:16:44.367,1626178,"Rondae Hollis-Jefferson"
1626179_Total_2017-18,1626179,Total,1299,558,2,0.9653579676674365,1.1478269151119647,0.9876595189356608,0.26454900791352565,2017-18,2017-12-18T08:16:44.367,1626179,"Terry Rozier"
1626181_Total_2017-18,1626181,Total,851,382,2,1.0117508813160987,1.158366333716055,0.9857663002895714,0.28347332726746793,2017-18,2017-12-18T08:16:44.367,1626181,"Norman Powell"
1626185_Total_2017-18,1626185,Total,777,346,2,1.027027027027027,1.186817571944602,1.0212186653773405,0.242085328674697,2017-18,2017-12-18T08:16:44.367,1626185,"Jarell Martin"
1626188_Total_2017-18,1626188,Total,140,69,2,1.1142857142857143,1.1716027745035824,1.0242850582263638,0.2868180161280362,2017-18,2017-12-18T08:16:44.367,1626188,"Quinn Cook"
1626192_Total_2017-18,1626192,Total,997,441,2,0.9989969909729187,1.158890884093355,1.005687365980788,0.27473801321293023,2017-18,2017-12-18T08:16:44.367,1626192,"Pat Connaughton"
1626195_Total_2017-18,1626195,Total,259,109,3,0.9613899613899614,1.1651534765823295,1.013232614708906,0.31681522155696146,2017-18,2017-12-18T08:16:44.367,1626195,"Willy Hernangomez"
1626196_Total_2017-18,1626196,Total,1618,717,2,0.9894932014833128,1.1443474734281773,1.004436684398843,0.2710923958189668,2017-18,2017-12-18T08:16:44.367,1626196,"Josh Richardson"
1626202_Total_2017-18,1626202,Total,159,81,2,1.1383647798742138,1.1573010644288284,0.9538168790885262,0.34050998026068857,2017-18,2017-12-18T08:16:44.367,1626202,"Joe Young"
1626203_Total_2017-18,1626203,Total,552,249,3,1.0326086956521738,1.1790848234092166,1.0037907948305378,0.2698779335848081,2017-18,2017-12-18T08:16:44.367,1626203,"Treveon Graham"
1626204_Total_2017-18,1626204,Total,699,332,3,1.0686695278969958,1.1625436215059077,1.0485481123580191,0.25863128586351675,2017-18,2017-12-18T08:16:44.367,1626204,"Larry Nance Jr."
1626209_Total_2017-18,1626209,Total,576,257,2,1.03125,1.1898277623953253,0.9770866503932807,0.3146899670092591,2017-18,2017-12-18T08:16:44.367,1626209,"Mario Hezonja"
1626220_Total_2017-18,1626220,Total,346,140,3,0.9421965317919075,1.1813139674527464,0.981237445496595,0.294045396695517,2017-18,2017-12-18T08:16:44.367,1626220,"Royce ONeale"
1626224_Total_2017-18,1626224,Total,322,139,3,1.0093167701863355,1.199083565291036,0.9813500692728503,0.2951910338333021,2017-18,2017-12-18T08:16:44.367,1626224,"Cedi Osman"
1626245_Total_2017-18,1626245,Total,539,260,2,1.1317254174397031,1.218021370167667,1.0240888407583024,0.33516259581582253,2017-18,2017-12-18T08:16:44.367,1626245,"Cristiano Felicio"
1626246_Total_2017-18,1626246,Total,111,50,2,0.972972972972973,1.1024907056416835,0.9480549973012735,0.28744743065645917,2017-18,2017-12-18T08:16:44.367,1626246,"Boban Marjanovic"
1626257_Total_2017-18,1626257,Total,468,186,2,0.9316239316239316,1.1855720659368831,0.9903680735854041,0.2791711924524171,2017-18,2017-12-18T08:16:44.367,1626257,"Salah Mejri"
1627098_Total_2017-18,1627098,Total,659,307,3,1.0667678300455234,1.1835123105370298,1.0124253676374255,0.2666691451694302,2017-18,2017-12-18T08:16:44.367,1627098,"Malcolm Delaney"
1627732_Total_2017-18,1627732,Total,1827,801,2,0.9901477832512315,1.1574992058993625,0.9747811649967278,0.2689532371375015,2017-18,2017-12-18T08:16:44.367,1627732,"Ben Simmons"
1627733_Total_2017-18,1627733,Total,1184,576,2,1.083614864864865,1.151057874326612,1.0078913990211569,0.27582639720107227,2017-18,2017-12-18T08:16:44.367,1627733,"Dragan Bender"
1627734_Total_2017-18,1627734,Total,1239,579,3,1.0573042776432606,1.1682272727016352,1.0115476723818553,0.27540803335633063,2017-18,2017-12-18T08:16:44.367,1627734,"Domantas Sabonis"
1627736_Total_2017-18,1627736,Total,514,222,2,0.9863813229571985,1.1694095996661047,1.0040942545384206,0.33442675111807124,2017-18,2017-12-18T08:16:44.367,1627736,"Malik Beasley"
1627737_Total_2017-18,1627737,Total,1192,536,2,1.014261744966443,1.1595668416907314,1.0032693138622797,0.276956756588103,2017-18,2017-12-18T08:16:44.367,1627737,"Marquese Chriss"
1627738_Total_2017-18,1627738,Total,326,136,2,0.9570552147239264,1.1688686431446418,1.0114043856537407,0.24014340239066997,2017-18,2017-12-18T08:16:44.367,1627738,"Deyonta Davis"
1627739_Total_2017-18,1627739,Total,1192,546,3,1.0360738255033557,1.1655891248517316,1.0185529856387665,0.2817046083455336,2017-18,2017-12-18T08:16:44.367,1627739,"Kris Dunn"
1627740_Total_2017-18,1627740,Total,163,62,2,0.8282208588957055,1.0830262759561897,0.9644535179934749,0.3182202144388579,2017-18,2017-12-18T08:16:44.367,1627740,"Henry Ellenson"
1627741_Total_2017-18,1627741,Total,1103,512,3,1.0670897552130554,1.1881232136142843,1.0189018781781265,0.26907019381984165,2017-18,2017-12-18T08:16:44.367,1627741,"Buddy Hield"
1627742_Total_2017-18,1627742,Total,1733,791,3,1.0196191575302942,1.1488555103395723,1.0123684244303677,0.2581765683905997,2017-18,2017-12-18T08:16:44.367,1627742,"Brandon Ingram"
1627743_Total_2017-18,1627743,Total,123,51,2,0.975609756097561,1.1993454490872435,0.9607219476979213,0.40396934773847315,2017-18,2017-12-18T08:16:44.367,1627743,"Demetrius Jackson"
