primaryKey,teamId,games,bin,attempts,made,value,pointsAvg,pointsStDev,expectedPointsAvg,expectedPointsStDev,season,dt,primaryKey,teamId,teamName,teamAbbreviation,teamCity,season
1610612737_10_Total_2017-18,1610612737,10,Total,867,378,2,0.9850057670126874,1.1570978865238193,0.9948512838869281,0.30731805860281314,2017-18,2017-12-18T08:16:25.726,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_11_Total_2017-18,1610612737,11,Total,948,417,2,0.9968354430379747,1.162435292119112,0.9940644615813367,0.3044539714629248,2017-18,2017-12-18T08:16:25.726,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_12_Total_2017-18,1610612737,12,Total,1037,461,2,1.0038572806171648,1.1594168432743301,0.9934921717156548,0.3072427273494983,2017-18,2017-12-18T08:16:25.726,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_13_Total_2017-18,1610612737,13,Total,1120,495,2,1.0026785714285715,1.1645783894848305,0.9925755776594207,0.30885459888542743,2017-18,2017-12-18T08:16:25.726,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_14_Total_2017-18,1610612737,14,Total,1207,535,2,1.0107705053852527,1.1716267249539625,0.9983203960585971,0.315363663962169,2017-18,2017-12-18T08:16:25.726,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_15_Total_2017-18,1610612737,15,Total,1286,585,2,1.0388802488335926,1.1771727165684733,1.0003829763870653,0.3158961260955844,2017-18,2017-12-18T08:16:25.726,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_16_Total_2017-18,1610612737,16,Total,1364,622,2,1.0403225806451613,1.1761256098707897,1.0013144834252254,0.31342211892492405,2017-18,2017-12-18T08:16:25.726,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_17_Total_2017-18,1610612737,17,Total,1449,659,2,1.0358868184955141,1.1737095568478206,1.0030790346819625,0.3121694356786057,2017-18,2017-12-18T08:16:25.726,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_18_Total_2017-18,1610612737,18,Total,1532,699,2,1.0385117493472584,1.1732238413776008,1.0043339635928712,0.31788282790498235,2017-18,2017-12-18T08:16:25.726,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_19_Total_2017-18,1610612737,19,Total,1631,746,2,1.0410790925812385,1.1735506606686283,1.005816894146968,0.32364686960659605,2017-18,2017-12-18T08:16:25.726,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_1_Total_2017-18,1610612737,1,Total,94,48,2,1.1170212765957446,1.1285123230949203,0.952109535145501,0.3276133196698556,2017-18,2017-12-18T08:16:25.726,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_20_Total_2017-18,1610612737,20,Total,1706,772,2,1.0293083235638922,1.1712996618724836,0.9994022747707973,0.32845032949454916,2017-18,2017-12-18T08:16:25.726,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_21_Total_2017-18,1610612737,21,Total,1785,813,2,1.0364145658263306,1.1726655821805982,1.0013744022119195,0.32732493338189694,2017-18,2017-12-18T08:16:25.726,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_22_Total_2017-18,1610612737,22,Total,1884,860,2,1.0371549893842889,1.1709957180673125,0.9991111807634484,0.32640989237888285,2017-18,2017-12-18T08:16:25.726,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_23_Total_2017-18,1610612737,23,Total,1966,890,2,1.0289928789420142,1.17045421748527,0.9950849106598496,0.32795557417722976,2017-18,2017-12-18T08:16:25.726,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_24_Total_2017-18,1610612737,24,Total,2059,930,2,1.0267119961146187,1.1702004245492141,0.9974054794156718,0.32756479175180564,2017-18,2017-12-18T08:16:25.726,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_25_Total_2017-18,1610612737,25,Total,2139,971,2,1.034595605423095,1.1742603184805491,0.99949069691936,0.32617284442535927,2017-18,2017-12-18T08:16:25.726,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_26_Total_2017-18,1610612737,26,Total,2216,1008,2,1.036101083032491,1.173779401610473,1.001033674214615,0.3260036073721378,2017-18,2017-12-18T08:16:25.726,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_27_Total_2017-18,1610612737,27,Total,2308,1051,2,1.0389948006932408,1.1761071829098633,1.000435162229207,0.32522897722612515,2017-18,2017-12-18T08:16:25.726,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_28_Total_2017-18,1610612737,28,Total,2378,1083,2,1.0399495374264087,1.1771594143412492,1.0010962189032488,0.3280648946238247,2017-18,2017-12-18T08:16:25.726,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_29_Total_2017-18,1610612737,29,Total,2455,1117,2,1.039918533604888,1.178228845040663,1.0013378522841467,0.32588372171741603,2017-18,2017-12-18T08:16:25.726,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_2_Total_2017-18,1610612737,2,Total,189,84,2,0.9735449735449735,1.1194947009894756,0.9624338254070358,0.34184887840321054,2017-18,2017-12-18T08:16:25.726,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_3_Total_2017-18,1610612737,3,Total,283,116,2,0.901060070671378,1.1108677440638057,0.9630167707277482,0.329744047492399,2017-18,2017-12-18T08:16:25.726,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_4_Total_2017-18,1610612737,4,Total,359,152,2,0.9303621169916435,1.1161751404148914,0.9819951179839286,0.32419731367841814,2017-18,2017-12-18T08:16:25.726,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_5_Total_2017-18,1610612737,5,Total,440,184,2,0.9295454545454546,1.1289736983518477,0.9806176230838942,0.31978053256752753,2017-18,2017-12-18T08:16:25.726,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_6_Total_2017-18,1610612737,6,Total,529,221,2,0.9395085066162571,1.143787586043897,0.9836499421583689,0.31889021218123254,2017-18,2017-12-18T08:16:25.726,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_7_Total_2017-18,1610612737,7,Total,606,257,2,0.9603960396039604,1.1554502108214293,0.990049949620332,0.31014442616107424,2017-18,2017-12-18T08:16:25.726,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_8_Total_2017-18,1610612737,8,Total,700,298,2,0.96,1.150701649305453,0.9870788857087788,0.3109922952452697,2017-18,2017-12-18T08:16:25.726,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
