primaryKey,id,bin,attempts,made,value,pointsAvg,pointsStDev,expectedPointsAvg,expectedPointsStDev,season,dt,primaryKey,playerName
101106_Total_2017-18,101106,Total,260,108,3,0.9423076923076923,1.1538141021189332,0.959147362129706,0.26146912025772684,2017-18,2017-12-18T08:16:44.367,101106,"Andrew Bogut"
101107_Total_2017-18,101107,Total,1342,621,2,1.0298062593144561,1.145459431716151,1.0085258490936022,0.26494558730547957,2017-18,2017-12-18T08:16:44.367,101107,"Marvin Williams"
101108_Total_2017-18,101108,Total,778,395,2,1.2210796915167095,1.2522341438308342,1.0934322143383755,0.18882046668915878,2017-18,2017-12-18T08:16:44.367,101108,"Chris Paul"
101109_Total_2017-18,101109,Total,843,350,3,0.9584816132858838,1.1758477199770971,0.9762721923212956,0.2707610765897676,2017-18,2017-12-18T08:16:44.367,101109,"Raymond Felton"
101112_Total_2017-18,101112,Total,618,314,2,1.174757281553398,1.2021597430807056,1.0840531147585313,0.25462918561408676,2017-18,2017-12-18T08:16:44.367,101112,"Channing Frye"
101127_Total_2017-18,101127,Total,1286,630,2,1.0762052877138413,1.132899733183113,1.0078825216108644,0.21736062371477474,2017-18,2017-12-18T08:16:44.367,101127,"Jarrett Jack"
101133_Total_2017-18,101133,Total,736,333,2,1.013586956521739,1.1514783328982847,0.9901249613830221,0.25757951624982733,2017-18,2017-12-18T08:16:44.367,101133,"Ian Mahinmi"
101139_Total_2017-18,101139,Total,815,362,2,1.0257668711656442,1.188110267189301,1.0373701259307868,0.2848087494417823,2017-18,2017-12-18T08:16:44.367,101139,"CJ Miles"
101141_Total_2017-18,101141,Total,705,320,2,1.0340425531914894,1.1736969407932936,0.9869919659905453,0.3082397201278846,2017-18,2017-12-18T08:16:44.367,101141,"Ersan Ilyasova"
101150_Total_2017-18,101150,Total,1549,701,2,1.027114267269206,1.1684637027502014,1.0386276669343935,0.32322649014991667,2017-18,2017-12-18T08:16:44.367,101150,"Lou Williams"
