primaryKey,id,bin,attempts,made,value,pointsAvg,pointsStDev,expectedPointsAvg,expectedPointsStDev,season,dt,primaryKey,playerName
101106_Left11FT_2017-18,101106,Left11FT,16,2,2,0.25,0.6614378277661477,0.6805893928936226,0.21579112295509328,2017-18,2017-12-18T08:16:44.367,101106,"Andrew Bogut"
101106_Left18FT_2017-18,101106,Left18FT,22,7,2,0.6363636363636364,0.9315409787235999,0.7846559059627239,0.14555564569293455,2017-18,2017-12-18T08:16:44.367,101106,"Andrew Bogut"
101106_Left23FT_2017-18,101106,Left23FT,6,1,2,0.3333333333333333,0.74535599249993,0.6891097878925024,0.16284333425641906,2017-18,2017-12-18T08:16:44.367,101106,"Andrew Bogut"
101106_Left27FT_2017-18,101106,Left27FT,31,11,3,1.064516129032258,1.4353932555669027,0.9369022214092637,0.14043078080797217,2017-18,2017-12-18T08:16:44.367,101106,"Andrew Bogut"
101106_LeftBaseline11FT_2017-18,101106,LeftBaseline11FT,2,1,2,1,1,0.6458333333333333,0.14583333333333331,2017-18,2017-12-18T08:16:44.367,101106,"Andrew Bogut"
101106_LeftBaseline18FT_2017-18,101106,LeftBaseline18FT,1,1,2,2,0,0.7027027027027027,0,2017-18,2017-12-18T08:16:44.367,101106,"Andrew Bogut"
101106_LeftBaseline23FT_2017-18,101106,LeftBaseline23FT,1,0,2,0,0,0.375,0,2017-18,2017-12-18T08:16:44.367,101106,"Andrew Bogut"
101106_LeftCorner_2017-18,101106,LeftCorner,5,5,3,3,0,1.1482436428149023,0.3547474604302983,2017-18,2017-12-18T08:16:44.367,101106,"Andrew Bogut"
101106_LeftLong3_2017-18,101106,LeftLong3,5,1,3,0.6,1.2000000000000002,0.9142249036366683,0.18881180826422983,2017-18,2017-12-18T08:16:44.367,101106,"Andrew Bogut"
101106_RestrictedArea_2017-18,101106,RestrictedArea,96,48,2,1,1,1.1818142496625978,0.10950867108021305,2017-18,2017-12-18T08:16:44.367,101106,"Andrew Bogut"
101106_Right11FT_2017-18,101106,Right11FT,16,6,2,0.75,0.9682458365518543,0.7582958013794773,0.16748724521206157,2017-18,2017-12-18T08:16:44.367,101106,"Andrew Bogut"
101106_Right18FT_2017-18,101106,Right18FT,12,4,2,0.6666666666666666,0.9428090415820635,0.7428636764364143,0.22746070746560648,2017-18,2017-12-18T08:16:44.367,101106,"Andrew Bogut"
101106_Right23FT_2017-18,101106,Right23FT,16,6,2,0.75,0.9682458365518543,0.7276662795446728,0.16625262122206744,2017-18,2017-12-18T08:16:44.367,101106,"Andrew Bogut"
101106_Right27FT_2017-18,101106,Right27FT,15,8,3,1.6,1.4966629547095767,0.9936374494417634,0.13850085407131696,2017-18,2017-12-18T08:16:44.367,101106,"Andrew Bogut"
101106_RightBaseline18FT_2017-18,101106,RightBaseline18FT,4,3,2,1.5,0.8660254037844386,0.5382513661202185,0.31697521943667545,2017-18,2017-12-18T08:16:44.367,101106,"Andrew Bogut"
101106_RightBaseline23FT_2017-18,101106,RightBaseline23FT,2,0,2,0,0,0.8421052631578947,0,2017-18,2017-12-18T08:16:44.367,101106,"Andrew Bogut"
101106_RightCorner_2017-18,101106,RightCorner,8,4,3,1.5,1.5,1.1273590837477696,0.21822286892364554,2017-18,2017-12-18T08:16:44.367,101106,"Andrew Bogut"
101106_RightLong3_2017-18,101106,RightLong3,2,0,3,0,0,0.7307692307692308,0.2692307692307692,2017-18,2017-12-18T08:16:44.367,101106,"Andrew Bogut"
101107_Left11FT_2017-18,101107,Left11FT,66,30,2,0.9090909090909091,0.9958591954639382,0.7804134369105874,0.09053659682129596,2017-18,2017-12-18T08:16:44.367,101107,"Marvin Williams"
101107_Left18FT_2017-18,101107,Left18FT,66,24,2,0.7272727272727273,0.962091385841669,0.8032466354997798,0.19379376671531579,2017-18,2017-12-18T08:16:44.367,101107,"Marvin Williams"
101107_Left23FT_2017-18,101107,Left23FT,38,16,2,0.8421052631578947,0.9874559494365116,0.72485173938579,0.15494865606833882,2017-18,2017-12-18T08:16:44.367,101107,"Marvin Williams"
101107_Left27FT_2017-18,101107,Left27FT,147,52,3,1.0612244897959184,1.4343904808820893,1.092399121817125,0.0830528889595341,2017-18,2017-12-18T08:16:44.367,101107,"Marvin Williams"
101107_LeftBaseline11FT_2017-18,101107,LeftBaseline11FT,18,7,2,0.7777777777777778,0.9749960430435692,0.7333618686215895,0.19756913421095873,2017-18,2017-12-18T08:16:44.367,101107,"Marvin Williams"
101107_LeftBaseline18FT_2017-18,101107,LeftBaseline18FT,16,7,2,0.875,0.9921567416492215,0.7618833773025129,0.13144474450338303,2017-18,2017-12-18T08:16:44.367,101107,"Marvin Williams"
101107_LeftBaseline23FT_2017-18,101107,LeftBaseline23FT,8,3,2,0.75,0.9682458365518543,0.694496561250036,0.2906149334418287,2017-18,2017-12-18T08:16:44.367,101107,"Marvin Williams"
101107_LeftCorner_2017-18,101107,LeftCorner,38,14,3,1.105263157894737,1.4471291668281596,1.0821774480870792,0.15710428390773437,2017-18,2017-12-18T08:16:44.367,101107,"Marvin Williams"
101107_LeftLong3_2017-18,101107,LeftLong3,33,7,3,0.6363636363636364,1.2264306875665494,0.8111382540496624,0.4090636686679053,2017-18,2017-12-18T08:16:44.367,101107,"Marvin Williams"
101107_RestrictedArea_2017-18,101107,RestrictedArea,466,282,2,1.2103004291845494,0.9776368085770876,1.2425998162077532,0.1335147149862579,2017-18,2017-12-18T08:16:44.367,101107,"Marvin Williams"
101107_Right11FT_2017-18,101107,Right11FT,77,36,2,0.935064935064935,0.9978894915479759,0.8014162430224918,0.10509801242397869,2017-18,2017-12-18T08:16:44.367,101107,"Marvin Williams"
101107_Right18FT_2017-18,101107,Right18FT,91,35,2,0.7692307692307693,0.9730085108210389,0.768348477984979,0.12116616299787812,2017-18,2017-12-18T08:16:44.367,101107,"Marvin Williams"
101107_Right23FT_2017-18,101107,Right23FT,60,25,2,0.8333333333333334,0.9860132971832692,0.7199214022592914,0.08914003200196466,2017-18,2017-12-18T08:16:44.367,101107,"Marvin Williams"
101107_Right27FT_2017-18,101107,Right27FT,119,44,3,1.1092436974789917,1.448209070555805,1.065460005776772,0.15335488385977428,2017-18,2017-12-18T08:16:44.367,101107,"Marvin Williams"
