loc,xCoordinate,yCoordinate
"Mid-Range_Left Side(L)",-115,17
"Mid-Range_Left Side(L)",-94,61
"Restricted Area_Center(C)",0,34
"Mid-Range_Right Side(R)",142,28
"Mid-Range_Right Side(R)",83,23
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Mid-Range_Right Side(R)",91,13
"Restricted Area_Center(C)",0,0
"Mid-Range_Right Side(R)",165,34
"Mid-Range_Left Side(L)",-136,2
"Mid-Range_Right Side(R)",165,17
"Mid-Range_Right Side(R)",127,13
"In The Paint (Non-RA)_Center(C)",28,55
"In The Paint (Non-RA)_Left Side(L)",-73,61
"In The Paint (Non-RA)_Center(C)",-63,135
"Mid-Range_Right Side(R)",123,15
"In The Paint (Non-RA)_Center(C)",22,63
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Center(C)",-42,116
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Left Side(L)",-56,63
"Left Corner 3_Left Side(L)",-235,4
Mid-Range_Center(C),1,177
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Center(C)",37,76
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Center(C)",7,51
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Mid-Range_Right Side(R)",138,63
"Restricted Area_Center(C)",0,0
"Mid-Range_Left Side(L)",-84,21
"Restricted Area_Center(C)",0,0
"Restricted Area_Center(C)",0,0
"Mid-Range_Left Side(L)",-128,47
"Restricted Area_Center(C)",0,0
"Mid-Range_Left Side(L)",-185,99
"Mid-Range_Left Side(L)",-162,15
"Restricted Area_Center(C)",0,0
"Mid-Range_Right Side(R)",123,11
"Mid-Range_Left Side Center(LC)",-134,116
"Above the Break 3_Right Side Center(RC)",138,219
"Restricted Area_Center(C)",0,0
"Above the Break 3_Center(C)",-4,251
"Restricted Area_Center(C)",0,0
Mid-Range_Center(C),22,203
"In The Paint (Non-RA)_Center(C)",-27,51
"Restricted Area_Center(C)",0,0
"In The Paint (Non-RA)_Right Side(R)",62,70
"Above the Break 3_Left Side Center(LC)",-202,135
"In The Paint (Non-RA)_Center(C)",-29,63
"Restricted Area_Center(C)",24,15
"Mid-Range_Right Side Center(RC)",161,125
