primaryKey,teamId,bin,attempts,made,value,pointsAvg,pointsStDev,expectedPointsAvg,expectedPointsStDev,season,dt,primaryKey,teamId,teamName,teamAbbreviation,teamCity,season
1610612737_Total_2015-16,1610612737,Total,7046,3044,2,0.9604030655691173,1.1346947966206709,1.0093513951195303,0.22956604662454436,2015-16,2017-12-05T23:43:54.279,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612738_Total_2015-16,1610612738,Total,6968,3074,2,0.9744546498277842,1.1294927465353264,1.0040170908862147,0.22773622756252562,2015-16,2017-12-05T23:43:54.279,1610612738_2017-18,1610612738,Celtics,BOS,Boston,2017-18
1610612739_Total_2015-16,1610612739,Total,6731,3019,2,0.9931659485960481,1.1350420924886613,0.9913880879756488,0.2310234896582992,2015-16,2017-12-05T23:43:54.279,1610612739_2017-18,1610612739,Cavaliers,CLE,Cleveland,2017-18
1610612740_Total_2015-16,1610612740,Total,6877,3218,2,1.0455140322815182,1.1518901719086092,1.011661425146893,0.22983750837613376,2015-16,2017-12-05T23:43:54.279,1610612740_2017-18,1610612740,Pelicans,NOP,"New Orleans",2017-18
1610612741_Total_2015-16,1610612741,Total,7331,3234,2,0.9710817078161234,1.1249740791543263,1.002118725863149,0.23362065799000828,2015-16,2017-12-05T23:43:54.279,1610612741_2017-18,1610612741,Bulls,CHI,Chicago,2017-18
1610612742_Total_2015-16,1610612742,Total,6967,3140,3,1.007463757714942,1.1481109405546277,1.006995207605722,0.22665864109004524,2015-16,2017-12-05T23:43:54.279,1610612742_2017-18,1610612742,Mavericks,DAL,Dallas,2017-18
1610612743_Total_2015-16,1610612743,Total,6897,3181,3,1.0316079454835436,1.1517528589464119,1.019987600650113,0.2286360785710296,2015-16,2017-12-05T23:43:54.279,1610612743_2017-18,1610612743,Nuggets,DEN,Denver,2017-18
1610612744_Total_2015-16,1610612744,Total,7324,3185,2,0.956990715456035,1.122449294538803,0.9910604923340567,0.2323868144207579,2015-16,2017-12-05T23:43:54.279,1610612744_2017-18,1610612744,Warriors,GSW,"Golden State",2017-18
1610612745_Total_2015-16,1610612745,Total,6956,3192,2,1.0317711328349626,1.1580144626195363,1.0203097723968522,0.23611934714051402,2015-16,2017-12-05T23:43:54.279,1610612745_2017-18,1610612745,Rockets,HOU,Houston,2017-18
1610612746_Total_2015-16,1610612746,Total,6926,3012,2,0.9624602945423043,1.1298997114196583,0.9953977704176166,0.23473934896860799,2015-16,2017-12-05T23:43:54.279,1610612746_2017-18,1610612746,Clippers,LAC,LA,2017-18
1610612747_Total_2015-16,1610612747,Total,6997,3310,2,1.0450192939831355,1.1378364769496039,1.0216940876839455,0.22719072609925914,2015-16,2017-12-05T23:43:54.279,1610612747_2017-18,1610612747,Lakers,LAL,"Los Angeles",2017-18
1610612748_Total_2015-16,1610612748,Total,6909,3050,2,0.9698943407150095,1.122522876974495,0.9981698406252489,0.2247691169695743,2015-16,2017-12-05T23:43:54.279,1610612748_2017-18,1610612748,Heat,MIA,Miami,2017-18
1610612749_Total_2015-16,1610612749,Total,6801,3091,2,1.020879282458462,1.155530174467137,1.0314394459455922,0.23267602379241473,2015-16,2017-12-05T23:43:54.279,1610612749_2017-18,1610612749,Bucks,MIL,Milwaukee,2017-18
1610612750_Total_2015-16,1610612750,Total,6949,3272,2,1.0479205641099438,1.1473058063775277,1.0218322278504963,0.22857588021867148,2015-16,2017-12-05T23:43:54.279,1610612750_2017-18,1610612750,Timberwolves,MIN,Minnesota,2017-18
1610612751_Total_2015-16,1610612751,Total,6971,3342,2,1.0698608521015636,1.1524815438611586,1.026448435264912,0.23203833207051686,2015-16,2017-12-05T23:43:54.279,1610612751_2017-18,1610612751,Nets,BKN,Brooklyn,2017-18
1610612752_Total_2015-16,1610612752,Total,7033,3113,2,0.9741219963031423,1.1251358325711818,1.0121647089815433,0.2308031385508789,2015-16,2017-12-05T23:43:54.279,1610612752_2017-18,1610612752,Knicks,NYK,"New York",2017-18
1610612753_Total_2015-16,1610612753,Total,6848,3150,2,1.0268691588785046,1.1488932145307218,1.020757936923758,0.23089673858829363,2015-16,2017-12-05T23:43:54.279,1610612753_2017-18,1610612753,Magic,ORL,Orlando,2017-18
1610612754_Total_2015-16,1610612754,Total,6944,3059,3,0.9779665898617511,1.1359001439971044,1.009039605803492,0.23056386243051297,2015-16,2017-12-05T23:43:54.279,1610612754_2017-18,1610612754,Pacers,IND,Indiana,2017-18
1610612755_Total_2015-16,1610612755,Total,6995,3249,2,1.0198713366690493,1.1279944111539018,1.0001474707546543,0.23271459981460182,2015-16,2017-12-05T23:43:54.279,1610612755_2017-18,1610612755,76ers,PHI,Philadelphia,2017-18
1610612756_Total_2015-16,1610612756,Total,6864,3206,2,1.0463286713286712,1.1551589136354619,1.0127084233701555,0.23423378210903603,2015-16,2017-12-05T23:43:54.279,1610612756_2017-18,1610612756,Suns,PHX,Phoenix,2017-18
1610612757_Total_2015-16,1610612757,Total,6942,3146,2,1.007202535292423,1.1412513333035323,1.0048944760492564,0.23140755228263055,2015-16,2017-12-05T23:43:54.279,1610612757_2017-18,1610612757,"Trail Blazers",POR,Portland,2017-18
1610612758_Total_2015-16,1610612758,Total,7178,3321,3,1.0416550571189747,1.1607100670876696,1.006473446724419,0.22947176128846966,2015-16,2017-12-05T23:43:54.279,1610612758_2017-18,1610612758,Kings,SAC,Sacramento,2017-18
1610612759_Total_2015-16,1610612759,Total,6698,2925,3,0.9538668259181845,1.1132327151652492,0.9849496322833396,0.2372527267827124,2015-16,2017-12-05T23:43:54.279,1610612759_2017-18,1610612759,Spurs,SAS,"San Antonio",2017-18
1610612760_Total_2015-16,1610612760,Total,7189,3149,2,0.9687021838920573,1.1300199351096785,1.0213871842900963,0.22514694314170422,2015-16,2017-12-05T23:43:54.279,1610612760_2017-18,1610612760,Thunder,OKC,"Oklahoma City",2017-18
1610612761_Total_2015-16,1610612761,Total,6724,2988,2,0.9949434860202261,1.1482747112046974,1.001999511559245,0.2299482092956273,2015-16,2017-12-05T23:43:54.279,1610612761_2017-18,1610612761,Raptors,TOR,Toronto,2017-18
1610612762_Total_2015-16,1610612762,Total,6546,2917,2,0.9900702719217843,1.1386036876018566,1.011748588575679,0.22961628168992892,2015-16,2017-12-05T23:43:54.279,1610612762_2017-18,1610612762,Jazz,UTA,Utah,2017-18
1610612763_Total_2015-16,1610612763,Total,6446,2943,3,1.036611852311511,1.1700948143091905,1.01956476892566,0.22774249932170462,2015-16,2017-12-05T23:43:54.279,1610612763_2017-18,1610612763,Grizzlies,MEM,Memphis,2017-18
1610612764_Total_2015-16,1610612764,Total,6856,3167,2,1.0309218203033839,1.149009299694364,0.9902712917837417,0.23647282233793757,2015-16,2017-12-05T23:43:54.279,1610612764_2017-18,1610612764,Wizards,WAS,Washington,2017-18
1610612765_Total_2015-16,1610612765,Total,6898,3179,2,1.0078283560452306,1.1217283389190955,0.988897912487644,0.23504363691061264,2015-16,2017-12-05T23:43:54.279,1610612765_2017-18,1610612765,Pistons,DET,Detroit,2017-18
1610612766_Total_2015-16,1610612766,Total,6971,3098,2,0.9929708793573375,1.1455949683275057,1.0070504275848078,0.22759684192987792,2015-16,2017-12-05T23:43:54.279,1610612766_2017-18,1610612766,Hornets,CHA,Charlotte,2017-18
