primaryKey,teamId,games,bin,attempts,made,value,pointsAvg,pointsStDev,expectedPointsAvg,expectedPointsStDev,season,dt,primaryKey,teamId,teamName,teamAbbreviation,teamCity,season
1610612737_10_Total_2017-18,1610612737,10,Total,886,402,3,1.0383747178329572,1.179535461414054,1.02014246236363,0.27283421089968124,2017-18,2017-12-07T01:02:34.014,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_11_Total_2017-18,1610612737,11,Total,967,441,3,1.046535677352637,1.1836991317290815,1.0209876718812563,0.2717704667450932,2017-18,2017-12-07T01:02:34.014,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_12_Total_2017-18,1610612737,12,Total,1056,480,3,1.043560606060606,1.1838545368873337,1.018834119949315,0.2684233200154597,2017-18,2017-12-07T01:02:34.014,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_13_Total_2017-18,1610612737,13,Total,1134,522,3,1.0520282186948853,1.179607120459749,1.0188272579796036,0.26523433393178847,2017-18,2017-12-07T01:02:34.014,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_14_Total_2017-18,1610612737,14,Total,1209,563,3,1.065343258891646,1.1822501301247432,1.023009452167353,0.26174792390129764,2017-18,2017-12-07T01:02:34.014,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_15_Total_2017-18,1610612737,15,Total,1297,594,3,1.0454895913646878,1.1775057319330424,1.0226665785188644,0.269117449232559,2017-18,2017-12-07T01:02:34.014,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_16_Total_2017-18,1610612737,16,Total,1379,633,3,1.0514865844815084,1.1822179142963087,1.0222805573683171,0.2702746322144901,2017-18,2017-12-07T01:02:34.014,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_17_Total_2017-18,1610612737,17,Total,1468,673,3,1.0490463215258856,1.1806998873601813,1.0224900474706313,0.2681187598368655,2017-18,2017-12-07T01:02:34.014,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_18_Total_2017-18,1610612737,18,Total,1544,717,3,1.064119170984456,1.1840510186701554,1.0231716998206926,0.26967508290974856,2017-18,2017-12-07T01:02:34.014,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_19_Total_2017-18,1610612737,19,Total,1623,757,3,1.069008009858287,1.1847956225521086,1.023243135782388,0.26606653377494643,2017-18,2017-12-07T01:02:34.014,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_1_Total_2017-18,1610612737,1,Total,86,38,3,1.0813953488372092,1.2595229465959017,1.0384063631193403,0.23459523577799968,2017-18,2017-12-07T01:02:34.014,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_20_Total_2017-18,1610612737,20,Total,1707,803,3,1.0779144698301113,1.1854016781473455,1.0234207684205197,0.27038398981300193,2017-18,2017-12-07T01:02:34.014,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
