primaryKey,id,bin,attempts,made,value,pointsAvg,pointsStDev,expectedPointsAvg,expectedPointsStDev,season,dt,primaryKey,playerName
101106_Total_2017-18,101106,Total,242,111,2,1.0413223140495869,1.1705525587549976,0.9871532208438468,0.281162322580135,2017-18,2017-12-11T07:02:47.169,101106,"Andrew Bogut"
101107_Total_2017-18,101107,Total,1231,552,3,1.025995125913891,1.1776307142235576,0.9991739093444943,0.2590342028107493,2017-18,2017-12-11T07:02:47.169,101107,"Marvin Williams"
101108_Total_2017-18,101108,Total,524,248,3,1.0706106870229009,1.1692525541807892,1.0231595606174946,0.2621376452139217,2017-18,2017-12-11T07:02:47.169,101108,"Chris Paul"
101109_Total_2017-18,101109,Total,663,298,2,1.0301659125188536,1.1801504887483378,1.0048071230971343,0.30423669508732604,2017-18,2017-12-11T07:02:47.169,101109,"Raymond Felton"
101112_Total_2017-18,101112,Total,560,242,3,0.9928571428571429,1.1771419902909406,0.9755388795221155,0.3088344823416282,2017-18,2017-12-11T07:02:47.169,101112,"Channing Frye"
101127_Total_2017-18,101127,Total,1126,508,2,1.0426287744227354,1.1912774383054925,1.0237198369613378,0.26961946395783154,2017-18,2017-12-11T07:02:47.169,101127,"Jarrett Jack"
101133_Total_2017-18,101133,Total,653,299,2,1.0413476263399695,1.1726095648425425,1.0134385428085357,0.2656602184354305,2017-18,2017-12-11T07:02:47.169,101133,"Ian Mahinmi"
101139_Total_2017-18,101139,Total,677,304,3,1.0088626292466765,1.1542400316022696,1.002675552204522,0.2909605710428239,2017-18,2017-12-11T07:02:47.169,101139,"CJ Miles"
101141_Total_2017-18,101141,Total,575,269,2,1.0591304347826087,1.169161397879315,1.0050852293897803,0.24870683804437965,2017-18,2017-12-11T07:02:47.169,101141,"Ersan Ilyasova"
101150_Total_2017-18,101150,Total,1268,594,3,1.0607255520504733,1.1695142202765796,1.0100314672253716,0.27959041171552895,2017-18,2017-12-11T07:02:47.169,101150,"Lou Williams"
101161_Total_2017-18,101161,Total,680,308,3,1.026470588235294,1.1666464819476547,0.9681690718054691,0.28026333860483704,2017-18,2017-12-11T07:02:47.169,101161,"Amir Johnson"
101162_Total_2017-18,101162,Total,1320,608,2,1.0318181818181817,1.15360555872619,1.00680382721153,0.27680195980778394,2017-18,2017-12-11T07:02:47.169,101162,"Marcin Gortat"
101181_Total_2017-18,101181,Total,487,238,3,1.1232032854209446,1.1925571741874006,1.0071154009452619,0.3087348412362668,2017-18,2017-12-11T07:02:47.169,101181,"Jose Calderon"
1626144_Total_2017-18,1626144,Total,1045,498,2,1.0909090909090908,1.185382919725391,1.005548220438537,0.3043189035286292,2017-18,2017-12-11T07:02:47.169,1626144,"Emmanuel Mudiay"
1626145_Total_2017-18,1626145,Total,807,389,2,1.0755885997521686,1.1527614038879894,0.9990980852253317,0.29305488095611626,2017-18,2017-12-11T07:02:47.169,1626145,"Tyus Jones"
1626147_Total_2017-18,1626147,Total,224,105,2,1.0803571428571428,1.1925242799051363,0.986444491025126,0.30338229715981346,2017-18,2017-12-11T07:02:47.169,1626147,"Justin Anderson"
1626149_Total_2017-18,1626149,Total,347,154,2,1.0201729106628241,1.1820691934785628,0.9843888118786477,0.33855284502198135,2017-18,2017-12-11T07:02:47.169,1626149,"Montrezl Harrell"
1626150_Total_2017-18,1626150,Total,577,264,2,1.0571923743500866,1.1929258931561102,1.0174771716225013,0.24803312352186568,2017-18,2017-12-11T07:02:47.169,1626150,"Andrew Harrison"
1626153_Total_2017-18,1626153,Total,486,226,3,1.0493827160493827,1.1642963706520817,1.0023209703766185,0.29498142039672576,2017-18,2017-12-11T07:02:47.169,1626153,"Delon Wright"
1626155_Total_2017-18,1626155,Total,374,161,2,0.9732620320855615,1.1559340278725831,0.969886732971373,0.35090768104589687,2017-18,2017-12-11T07:02:47.169,1626155,"Sam Dekker"
1626156_Total_2017-18,1626156,Total,659,312,2,1.0515933232169954,1.1451857580104394,0.9934808446858001,0.25211184382790275,2017-18,2017-12-11T07:02:47.169,1626156,"DAngelo Russell"
1626157_Total_2017-18,1626157,Total,1645,792,3,1.086322188449848,1.1673736530086132,1.0122204069183554,0.26962983904391585,2017-18,2017-12-11T07:02:47.169,1626157,"Karl-Anthony Towns"
1626158_Total_2017-18,1626158,Total,322,151,3,1.0807453416149069,1.1924980580189306,1.0074339876702425,0.31615797655966316,2017-18,2017-12-11T07:02:47.169,1626158,"Richaun Holmes"
1626159_Total_2017-18,1626159,Total,1048,480,3,1.0286259541984732,1.1562728113590728,1.0010330242292385,0.26830931873805064,2017-18,2017-12-11T07:02:47.169,1626159,"Justise Winslow"
1626161_Total_2017-18,1626161,Total,910,451,3,1.156043956043956,1.212499805479427,1.0204967589714196,0.24335339298308675,2017-18,2017-12-11T07:02:47.169,1626161,"Willie Cauley-Stein"
1626162_Total_2017-18,1626162,Total,1232,569,2,1.0373376623376624,1.1573741788549858,1.012770548436058,0.2748850088495739,2017-18,2017-12-11T07:02:47.169,1626162,"Kelly Oubre Jr."
1626163_Total_2017-18,1626163,Total,921,432,3,1.0629750271444083,1.1707377929461358,1.0126653521069522,0.26254513100073473,2017-18,2017-12-11T07:02:47.169,1626163,"Frank Kaminsky"
1626164_Total_2017-18,1626164,Total,1588,745,2,1.0610831234256928,1.1681852427386916,1.011224344733215,0.27815485665333467,2017-18,2017-12-11T07:02:47.169,1626164,"Devin Booker"
1626167_Total_2017-18,1626167,Total,1095,498,3,1.0429223744292238,1.1824371737108685,1.0090548552172267,0.26722598037557804,2017-18,2017-12-11T07:02:47.169,1626167,"Myles Turner"
1626168_Total_2017-18,1626168,Total,485,238,2,1.1237113402061856,1.18806549820106,1.003153070158557,0.2939990320717923,2017-18,2017-12-11T07:02:47.169,1626168,"Trey Lyles"
1626169_Total_2017-18,1626169,Total,1169,556,2,1.0812660393498716,1.1762112139100565,1.0151794387989461,0.2572290205782351,2017-18,2017-12-11T07:02:47.169,1626169,"Stanley Johnson"
1626170_Total_2017-18,1626170,Total,1052,509,2,1.1131178707224334,1.1931119538398198,1.0315304525597249,0.27006688598897866,2017-18,2017-12-11T07:02:47.169,1626170,"Jerian Grant"
1626171_Total_2017-18,1626171,Total,609,297,2,1.1412151067323482,1.2155637537551847,1.017171940408591,0.29837191853871786,2017-18,2017-12-11T07:02:47.169,1626171,"Bobby Portis"
1626172_Total_2017-18,1626172,Total,366,157,3,0.9754098360655737,1.1626927110079945,0.992856034819511,0.27617250212474537,2017-18,2017-12-11T07:02:47.169,1626172,"Kevon Looney"
1626173_Total_2017-18,1626173,Total,174,78,2,1.0114942528735633,1.1596100501279618,1.0324316126070898,0.30988152590576235,2017-18,2017-12-11T07:02:47.169,1626173,"Rashad Vaughn"
1626177_Total_2017-18,1626177,Total,107,41,2,0.8785046728971962,1.1496466777332168,0.9586406536486572,0.3342476698041812,2017-18,2017-12-11T07:02:47.169,1626177,"Dakari Johnson"
1626178_Total_2017-18,1626178,Total,1183,561,2,1.054945054945055,1.1473916803585624,0.9854973916392411,0.26382515673659823,2017-18,2017-12-11T07:02:47.169,1626178,"Rondae Hollis-Jefferson"
1626179_Total_2017-18,1626179,Total,1136,485,2,0.9568661971830986,1.1432927657839733,0.991521152569941,0.2621873497646016,2017-18,2017-12-11T07:02:47.169,1626179,"Terry Rozier"
1626181_Total_2017-18,1626181,Total,741,330,2,1.0026990553306343,1.1558655214878173,0.9807569252405035,0.2820120222358176,2017-18,2017-12-11T07:02:47.169,1626181,"Norman Powell"
1626185_Total_2017-18,1626185,Total,702,313,2,1.0242165242165242,1.181883859518679,1.0264115511108862,0.2407977195454642,2017-18,2017-12-11T07:02:47.169,1626185,"Jarell Martin"
