primaryKey,id,bin,attempts,made,value,pointsAvg,pointsStDev,expectedPointsAvg,expectedPointsStDev,season,dt,primaryKey,playerName
101106_Left11FT_2017-18,101106,Left11FT,11,5,2,0.9090909090909091,0.9958591954639383,0.7452249022798061,0.14244287203985534,2017-18,2017-12-12T18:50:45.958,101106,"Andrew Bogut"
101106_Left18FT_2017-18,101106,Left18FT,13,8,2,1.2307692307692308,0.9730085108210399,0.8098955059330706,0.11694352588729234,2017-18,2017-12-12T18:50:45.958,101106,"Andrew Bogut"
101106_Left23FT_2017-18,101106,Left23FT,13,4,2,0.6153846153846154,0.9230769230769231,0.7482941961499399,0.16966153766108782,2017-18,2017-12-12T18:50:45.958,101106,"Andrew Bogut"
101106_Left27FT_2017-18,101106,Left27FT,32,12,3,1.125,1.4523687548277813,0.9708239917750646,0.15577135598716674,2017-18,2017-12-12T18:50:45.958,101106,"Andrew Bogut"
101106_LeftBaseline11FT_2017-18,101106,LeftBaseline11FT,2,1,2,1,1,0.8947368421052632,0.10526315789473684,2017-18,2017-12-12T18:50:45.958,101106,"Andrew Bogut"
101106_LeftBaseline18FT_2017-18,101106,LeftBaseline18FT,5,2,2,0.8,0.9797958971132713,0.6359352266500388,0.13190388793524255,2017-18,2017-12-12T18:50:45.958,101106,"Andrew Bogut"
101106_LeftCorner_2017-18,101106,LeftCorner,5,0,3,0,0,1.0751745203948593,0.5485725768943133,2017-18,2017-12-12T18:50:45.958,101106,"Andrew Bogut"
101106_LeftLong3_2017-18,101106,LeftLong3,6,1,3,0.5,1.118033988749895,0.6448688566335625,0.3301097541431194,2017-18,2017-12-12T18:50:45.958,101106,"Andrew Bogut"
101106_RestrictedArea_2017-18,101106,RestrictedArea,67,43,2,1.2835820895522387,0.9589479644303885,1.2285334074407424,0.13827442083320876,2017-18,2017-12-12T18:50:45.958,101106,"Andrew Bogut"
101106_Right11FT_2017-18,101106,Right11FT,10,3,2,0.6,0.9165151389911679,0.8121625402481524,0.10295596069947875,2017-18,2017-12-12T18:50:45.958,101106,"Andrew Bogut"
101106_Right18FT_2017-18,101106,Right18FT,12,8,2,1.3333333333333333,0.9428090415820634,0.8446892753385109,0.202145542606874,2017-18,2017-12-12T18:50:45.958,101106,"Andrew Bogut"
101106_Right23FT_2017-18,101106,Right23FT,11,4,2,0.7272727272727273,0.9620913858416693,0.762648721218033,0.15837010433439616,2017-18,2017-12-12T18:50:45.958,101106,"Andrew Bogut"
101106_Right27FT_2017-18,101106,Right27FT,25,5,3,0.6,1.1999999999999997,1.0041520479406945,0.25208196089117463,2017-18,2017-12-12T18:50:45.958,101106,"Andrew Bogut"
101106_RightBaseline11FT_2017-18,101106,RightBaseline11FT,4,2,2,1,1,0.711385172416938,0.12383064719522825,2017-18,2017-12-12T18:50:45.958,101106,"Andrew Bogut"
101106_RightBaseline18FT_2017-18,101106,RightBaseline18FT,4,1,2,0.5,0.8660254037844386,0.9700154320987654,0.22525180398843803,2017-18,2017-12-12T18:50:45.958,101106,"Andrew Bogut"
101106_RightBaseline23FT_2017-18,101106,RightBaseline23FT,1,0,2,0,0,0.6666666666666666,0,2017-18,2017-12-12T18:50:45.958,101106,"Andrew Bogut"
101106_RightCorner_2017-18,101106,RightCorner,16,7,3,1.3125,1.4882351124738322,1.2449706930142266,0.28309219625360477,2017-18,2017-12-12T18:50:45.958,101106,"Andrew Bogut"
