primaryKey,teamId,bin,attempts,made,value,pointsAvg,pointsStDev,expectedPointsAvg,expectedPointsStDev,season,dt,primaryKey,teamId,teamName,teamAbbreviation,teamCity,season
1610612737_Total_2014-15,1610612737,Total,6699,3121,2,1.0538886400955367,1.1676554912769346,1.0364267812859471,0.21712257053906062,2014-15,2017-12-05T23:43:38.494,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612738_Total_2014-15,1610612738,Total,7209,3193,2,0.9773893743931197,1.1287805095592502,0.9696205867809419,0.22668239729999595,2014-15,2017-12-05T23:43:38.494,1610612738_2017-18,1610612738,Celtics,BOS,Boston,2017-18
1610612739_Total_2014-15,1610612739,Total,6715,3082,2,1.040506329113924,1.168778647224185,1.0416230817491872,0.22417488759716042,2014-15,2017-12-05T23:43:38.494,1610612739_2017-18,1610612739,Cavaliers,CLE,Cleveland,2017-18
1610612740_Total_2014-15,1610612740,Total,6793,3107,3,1.0008832621816577,1.1217635258746048,1.0047935134352208,0.22430672833457202,2014-15,2017-12-05T23:43:38.494,1610612740_2017-18,1610612740,Pelicans,NOP,"New Orleans",2017-18
1610612741_Total_2014-15,1610612741,Total,6797,3001,2,0.9780785640723849,1.1334219167798845,1.005075851168554,0.2087382370849339,2014-15,2017-12-05T23:43:38.494,1610612741_2017-18,1610612741,Bulls,CHI,Chicago,2017-18
1610612742_Total_2014-15,1610612742,Total,6863,3177,2,1.0307445723444557,1.1462050158674029,1.018955662494204,0.2175243707940278,2014-15,2017-12-05T23:43:38.494,1610612742_2017-18,1610612742,Mavericks,DAL,Dallas,2017-18
1610612743_Total_2014-15,1610612743,Total,7075,3065,2,0.9585865724381626,1.1290488736600695,1.0054679856436832,0.2221051173400299,2014-15,2017-12-05T23:43:38.494,1610612743_2017-18,1610612743,Nuggets,DEN,Denver,2017-18
1610612744_Total_2014-15,1610612744,Total,7137,3410,3,1.0793050301247022,1.1682786769293114,1.0553335799095773,0.23785457409446492,2014-15,2017-12-05T23:43:38.494,1610612744_2017-18,1610612744,Warriors,GSW,"Golden State",2017-18
1610612745_Total_2014-15,1610612745,Total,6831,3032,2,1.02430098082272,1.1870800869993925,1.0333942967734027,0.23657899662060886,2014-15,2017-12-05T23:43:38.494,1610612745_2017-18,1610612745,Rockets,HOU,Houston,2017-18
1610612746_Total_2014-15,1610612746,Total,6827,3227,2,1.0663541819247107,1.165576115326358,1.0397954624888313,0.2316210301504277,2014-15,2017-12-05T23:43:38.494,1610612746_2017-18,1610612746,Clippers,LAC,LA,2017-18
