primaryKey,teamId,games,bin,attempts,made,value,pointsAvg,pointsStDev,expectedPointsAvg,expectedPointsStDev,season,dt,primaryKey,teamId,teamName,teamAbbreviation,teamCity,season
1610612737_10_Total_2017-18,1610612737,10,Total,867,378,2,0.9850057670126874,1.1570978865238193,0.9916147253837037,0.3093464867045951,2017-18,2017-12-07T01:02:34.014,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_11_Total_2017-18,1610612737,11,Total,948,417,2,0.9968354430379747,1.162435292119112,0.9910636156287794,0.30678479269362025,2017-18,2017-12-07T01:02:34.014,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_12_Total_2017-18,1610612737,12,Total,1037,461,2,1.0038572806171648,1.1594168432743301,0.990178020390914,0.3102682089316942,2017-18,2017-12-07T01:02:34.014,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_13_Total_2017-18,1610612737,13,Total,1120,495,2,1.0026785714285715,1.1645783894848305,0.9893541019848731,0.3116577777545614,2017-18,2017-12-07T01:02:34.014,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_14_Total_2017-18,1610612737,14,Total,1207,535,2,1.0107705053852527,1.1716267249539625,0.9966278541354777,0.31913078874181533,2017-18,2017-12-07T01:02:34.014,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_15_Total_2017-18,1610612737,15,Total,1286,585,2,1.0388802488335926,1.1771727165684733,0.9990253635503686,0.31995620747984427,2017-18,2017-12-07T01:02:34.014,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_16_Total_2017-18,1610612737,16,Total,1364,622,2,1.0403225806451613,1.1761256098707897,1.0004867646493398,0.3192529266216964,2017-18,2017-12-07T01:02:34.014,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_17_Total_2017-18,1610612737,17,Total,1449,659,2,1.0358868184955141,1.1737095568478206,1.0020369576279857,0.3171949540627783,2017-18,2017-12-07T01:02:34.014,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_18_Total_2017-18,1610612737,18,Total,1532,699,2,1.0385117493472584,1.1732238413776008,1.003209073590617,0.3229402990710231,2017-18,2017-12-07T01:02:34.014,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_19_Total_2017-18,1610612737,19,Total,1631,746,2,1.0410790925812385,1.1735506606686283,1.004395388874586,0.33083188416849735,2017-18,2017-12-07T01:02:34.014,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_1_Total_2017-18,1610612737,1,Total,94,48,2,1.1170212765957446,1.1285123230949203,0.9484457266418141,0.33333295362099885,2017-18,2017-12-07T01:02:34.014,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_20_Total_2017-18,1610612737,20,Total,1706,772,2,1.0293083235638922,1.1712996618724836,0.9973695046273289,0.3369703407787663,2017-18,2017-12-07T01:02:34.014,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_21_Total_2017-18,1610612737,21,Total,1785,813,2,1.0364145658263306,1.1726655821805982,0.9992920606488376,0.3361448810364709,2017-18,2017-12-07T01:02:34.014,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_22_Total_2017-18,1610612737,22,Total,1884,860,2,1.0371549893842889,1.1709957180673125,0.9973808291032171,0.33502998540710804,2017-18,2017-12-07T01:02:34.014,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_2_Total_2017-18,1610612737,2,Total,189,84,2,0.9735449735449735,1.1194947009894756,0.9581221918719898,0.3441384660195766,2017-18,2017-12-07T01:02:34.014,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_3_Total_2017-18,1610612737,3,Total,283,116,2,0.901060070671378,1.1108677440638057,0.9607570552232074,0.330490755223244,2017-18,2017-12-07T01:02:34.014,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_4_Total_2017-18,1610612737,4,Total,359,152,2,0.9303621169916435,1.1161751404148914,0.9776290266059386,0.3220086837921543,2017-18,2017-12-07T01:02:34.014,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_5_Total_2017-18,1610612737,5,Total,440,184,2,0.9295454545454546,1.1289736983518477,0.977044486010701,0.3173033330098629,2017-18,2017-12-07T01:02:34.014,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_6_Total_2017-18,1610612737,6,Total,529,221,2,0.9395085066162571,1.143787586043897,0.9799339298916098,0.3171255156260503,2017-18,2017-12-07T01:02:34.014,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_7_Total_2017-18,1610612737,7,Total,606,257,2,0.9603960396039604,1.1554502108214293,0.9874668449031719,0.3097774812388988,2017-18,2017-12-07T01:02:34.014,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_8_Total_2017-18,1610612737,8,Total,700,298,2,0.96,1.150701649305453,0.9844307786729471,0.31103962647453776,2017-18,2017-12-07T01:02:34.014,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_9_Total_2017-18,1610612737,9,Total,781,337,2,0.9743918053777209,1.1547861967433304,0.989948172693313,0.30982219935082705,2017-18,2017-12-07T01:02:34.014,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612738_10_Total_2017-18,1610612738,10,Total,840,371,3,1.0166666666666666,1.1830985682614215,1.0047079793401812,0.29864132637861024,2017-18,2017-12-07T01:02:34.014,1610612738_2017-18,1610612738,Celtics,BOS,Boston,2017-18
