primaryKey,id,bin,attempts,made,value,pointsAvg,pointsStDev,expectedPointsAvg,expectedPointsStDev,season,dt,primaryKey,playerName
101106_Total_2017-18,101106,Total,260,108,3,0.9423076923076923,1.1538141021189332,0.9545981774087293,0.2716264703246824,2017-18,2017-12-11T07:02:47.169,101106,"Andrew Bogut"
101107_Total_2017-18,101107,Total,1140,528,2,1.0324561403508772,1.1477663750019362,1.0112844413236992,0.2681024320976564,2017-18,2017-12-11T07:02:47.169,101107,"Marvin Williams"
101108_Total_2017-18,101108,Total,534,274,2,1.2340823970037453,1.2525178390070768,1.09271510060019,0.1931447659198062,2017-18,2017-12-11T07:02:47.169,101108,"Chris Paul"
101109_Total_2017-18,101109,Total,730,305,3,0.958904109589041,1.169689762924331,0.9675943684162345,0.2536582217471785,2017-18,2017-12-11T07:02:47.169,101109,"Raymond Felton"
101112_Total_2017-18,101112,Total,547,278,2,1.1755027422303475,1.202641620728458,1.0763584975896814,0.25840063722686657,2017-18,2017-12-11T07:02:47.169,101112,"Channing Frye"
101127_Total_2017-18,101127,Total,1147,562,2,1.070619006102877,1.1256228966267272,1.006564904098657,0.21841475550167921,2017-18,2017-12-11T07:02:47.169,101127,"Jarrett Jack"
101133_Total_2017-18,101133,Total,690,314,2,1.018840579710145,1.151404355158481,0.9885829684350212,0.2548588434853957,2017-18,2017-12-11T07:02:47.169,101133,"Ian Mahinmi"
101139_Total_2017-18,101139,Total,711,325,2,1.0548523206751055,1.1911893851048987,1.0448914625080283,0.29901543876179554,2017-18,2017-12-11T07:02:47.169,101139,"CJ Miles"
101141_Total_2017-18,101141,Total,583,259,2,1.0034305317324186,1.1596364389583933,0.9820642786212201,0.30679855683953583,2017-18,2017-12-11T07:02:47.169,101141,"Ersan Ilyasova"
101150_Total_2017-18,101150,Total,1292,596,2,1.0464396284829722,1.1701967307979029,1.0372215589789702,0.3019986397641105,2017-18,2017-12-11T07:02:47.169,101150,"Lou Williams"
101161_Total_2017-18,101161,Total,683,319,2,1.0527086383601756,1.163187477740978,1.0018197867300456,0.28524538507454067,2017-18,2017-12-11T07:02:47.169,101161,"Amir Johnson"
101162_Total_2017-18,101162,Total,1332,627,3,1.0563063063063063,1.1581986852283737,1.024747736684146,0.23362618513566427,2017-18,2017-12-11T07:02:47.169,101162,"Marcin Gortat"
101181_Total_2017-18,101181,Total,468,206,2,1.061965811965812,1.2413831129104393,1.0360220799713085,0.2824495860540181,2017-18,2017-12-11T07:02:47.169,101181,"Jose Calderon"
