primaryKey,teamId,bin,attempts,made,value,pointsAvg,pointsStDev,expectedPointsAvg,expectedPointsStDev,season,dt,primaryKey,teamId,teamName,teamAbbreviation,teamCity,season
1610612737_Left11FT_2017-18,1610612737,Left11FT,107,43,2,0.8037383177570093,0.980551555035812,0.7733441129864421,0.12416458880428125,2017-18,2017-12-18T08:16:20.04,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_Left18FT_2017-18,1610612737,Left18FT,121,57,2,0.9421487603305785,0.9983252145812569,0.8051417667570129,0.1391816005285439,2017-18,2017-12-18T08:16:20.04,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_Left23FT_2017-18,1610612737,Left23FT,92,26,2,0.5652173913043478,0.9005354424873036,0.7916661869143765,0.16343164654859124,2017-18,2017-12-18T08:16:20.04,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_Left27FT_2017-18,1610612737,Left27FT,326,132,3,1.2147239263803682,1.4726226814157708,1.0576913182025398,0.18471090755060665,2017-18,2017-12-18T08:16:20.04,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_LeftBaseline11FT_2017-18,1610612737,LeftBaseline11FT,17,4,2,0.47058823529411764,0.8483650059915268,0.6694886044433639,0.23130449664469532,2017-18,2017-12-18T08:16:20.04,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_LeftBaseline18FT_2017-18,1610612737,LeftBaseline18FT,29,11,2,0.7586206896551724,0.9704308468600199,0.8154630209388227,0.21499924441195875,2017-18,2017-12-18T08:16:20.04,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_LeftBaseline23FT_2017-18,1610612737,LeftBaseline23FT,16,10,2,1.25,0.9682458365518543,0.8719388177724595,0.3080621413019909,2017-18,2017-12-18T08:16:20.04,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_LeftCorner_2017-18,1610612737,LeftCorner,114,48,3,1.263157894736842,1.4811839241547677,1.1238583818331118,0.25179525315789464,2017-18,2017-12-18T08:16:20.04,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_LeftLong3_2017-18,1610612737,LeftLong3,30,7,3,0.7,1.2688577540449522,0.825228022265894,0.26774138573196105,2017-18,2017-12-18T08:16:20.04,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_RestrictedArea_2017-18,1610612737,RestrictedArea,753,489,2,1.298804780876494,0.9543142579493172,1.2198440926408278,0.12070638919360391,2017-18,2017-12-18T08:16:20.04,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_Right11FT_2017-18,1610612737,Right11FT,130,57,2,0.8769230769230769,0.9923971337150852,0.7739156337233393,0.21507168547314653,2017-18,2017-12-18T08:16:20.04,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_Right18FT_2017-18,1610612737,Right18FT,114,55,2,0.9649122807017544,0.999384236394814,0.8137525634741253,0.12148527870041538,2017-18,2017-12-18T08:16:20.04,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_Right23FT_2017-18,1610612737,Right23FT,104,46,2,0.8846153846153846,0.99332089001115,0.7710105908413462,0.19788201994684468,2017-18,2017-12-18T08:16:20.04,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_Right27FT_2017-18,1610612737,Right27FT,305,109,3,1.0721311475409836,1.437681552046699,1.0591235334216915,0.17825323172484173,2017-18,2017-12-18T08:16:20.04,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_RightBaseline11FT_2017-18,1610612737,RightBaseline11FT,25,10,2,0.8,0.9797958971132714,0.741094916360327,0.25401989044778106,2017-18,2017-12-18T08:16:20.04,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_RightBaseline18FT_2017-18,1610612737,RightBaseline18FT,30,13,2,0.8666666666666667,0.9910712498212335,0.7862956699221538,0.33362613378805445,2017-18,2017-12-18T08:16:20.04,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_RightBaseline23FT_2017-18,1610612737,RightBaseline23FT,5,2,2,0.8,0.9797958971132713,0.8469828867422017,0.0630102290241915,2017-18,2017-12-18T08:16:20.04,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_RightCorner_2017-18,1610612737,RightCorner,140,53,3,1.1357142857142857,1.4550930961169959,1.1596063413461497,0.31270665458711283,2017-18,2017-12-18T08:16:20.04,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_RightLong3_2017-18,1610612737,RightLong3,28,6,3,0.6428571428571429,1.2309777099724346,0.672059042928985,0.3400798323214664,2017-18,2017-12-18T08:16:20.04,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612738_Left11FT_2017-18,1610612738,Left11FT,146,52,2,0.7123287671232876,0.9577292215314267,0.7839055157601638,0.1650635076004953,2017-18,2017-12-18T08:16:20.04,1610612738_2017-18,1610612738,Celtics,BOS,Boston,2017-18
1610612738_Left18FT_2017-18,1610612738,Left18FT,133,52,2,0.7819548872180451,0.9759386911030352,0.8138224127894226,0.1464378806279664,2017-18,2017-12-18T08:16:20.04,1610612738_2017-18,1610612738,Celtics,BOS,Boston,2017-18
1610612738_Left23FT_2017-18,1610612738,Left23FT,104,44,2,0.8461538461538461,0.9880948137434717,0.7870644111490753,0.1737769896117258,2017-18,2017-12-18T08:16:20.04,1610612738_2017-18,1610612738,Celtics,BOS,Boston,2017-18
1610612738_Left27FT_2017-18,1610612738,Left27FT,304,102,3,1.006578947368421,1.4165223841577474,1.0634163017586413,0.13776293933750486,2017-18,2017-12-18T08:16:20.04,1610612738_2017-18,1610612738,Celtics,BOS,Boston,2017-18
1610612738_LeftBaseline11FT_2017-18,1610612738,LeftBaseline11FT,33,11,2,0.6666666666666666,0.9428090415820632,0.7099998097576393,0.22240265430155662,2017-18,2017-12-18T08:16:20.04,1610612738_2017-18,1610612738,Celtics,BOS,Boston,2017-18
1610612738_LeftBaseline18FT_2017-18,1610612738,LeftBaseline18FT,50,19,2,0.76,0.9707728879609274,0.7588751354824723,0.19061778450861985,2017-18,2017-12-18T08:16:20.04,1610612738_2017-18,1610612738,Celtics,BOS,Boston,2017-18
1610612738_LeftBaseline23FT_2017-18,1610612738,LeftBaseline23FT,13,6,2,0.9230769230769231,0.9970370305242862,0.7570812073808347,0.14580083817981312,2017-18,2017-12-18T08:16:20.04,1610612738_2017-18,1610612738,Celtics,BOS,Boston,2017-18
1610612738_LeftCorner_2017-18,1610612738,LeftCorner,79,32,3,1.2151898734177216,1.4727128680758463,1.1871836700843992,0.24886712196581456,2017-18,2017-12-18T08:16:20.04,1610612738_2017-18,1610612738,Celtics,BOS,Boston,2017-18
1610612738_LeftLong3_2017-18,1610612738,LeftLong3,63,19,3,0.9047619047619048,1.3768411709334243,0.7796922914666975,0.30140411171379344,2017-18,2017-12-18T08:16:20.04,1610612738_2017-18,1610612738,Celtics,BOS,Boston,2017-18
1610612738_RestrictedArea_2017-18,1610612738,RestrictedArea,858,514,2,1.1981351981351982,0.9801747003774037,1.2099251472708692,0.12684120454940087,2017-18,2017-12-18T08:16:20.04,1610612738_2017-18,1610612738,Celtics,BOS,Boston,2017-18
1610612738_Right11FT_2017-18,1610612738,Right11FT,152,56,2,0.7368421052631579,0.9647527778854392,0.755265056382279,0.15779676992850283,2017-18,2017-12-18T08:16:20.04,1610612738_2017-18,1610612738,Celtics,BOS,Boston,2017-18
1610612738_Right18FT_2017-18,1610612738,Right18FT,161,63,2,0.782608695652174,0.9760845356801586,0.7893797031840806,0.18340719997187688,2017-18,2017-12-18T08:16:20.04,1610612738_2017-18,1610612738,Celtics,BOS,Boston,2017-18
1610612738_Right23FT_2017-18,1610612738,Right23FT,99,33,2,0.6666666666666666,0.9428090415820628,0.787097159739739,0.15282148463615858,2017-18,2017-12-18T08:16:20.04,1610612738_2017-18,1610612738,Celtics,BOS,Boston,2017-18
1610612738_Right27FT_2017-18,1610612738,Right27FT,256,90,3,1.0546875,1.4323745241185177,1.0609679534595478,0.14367714088967434,2017-18,2017-12-18T08:16:20.04,1610612738_2017-18,1610612738,Celtics,BOS,Boston,2017-18
1610612738_RightBaseline11FT_2017-18,1610612738,RightBaseline11FT,32,12,2,0.75,0.9682458365518543,0.75109763060017,0.14802912537234392,2017-18,2017-12-18T08:16:20.04,1610612738_2017-18,1610612738,Celtics,BOS,Boston,2017-18
1610612738_RightBaseline18FT_2017-18,1610612738,RightBaseline18FT,33,14,2,0.8484848484848485,0.9884549351697025,0.7568916276610264,0.2548582739218457,2017-18,2017-12-18T08:16:20.04,1610612738_2017-18,1610612738,Celtics,BOS,Boston,2017-18
1610612738_RightBaseline23FT_2017-18,1610612738,RightBaseline23FT,16,7,2,0.875,0.9921567416492215,0.7601333899825832,0.2534516314317628,2017-18,2017-12-18T08:16:20.04,1610612738_2017-18,1610612738,Celtics,BOS,Boston,2017-18
1610612738_RightCorner_2017-18,1610612738,RightCorner,73,33,3,1.356164383561644,1.493087845856298,1.1799108667930376,0.26488225949986144,2017-18,2017-12-18T08:16:20.04,1610612738_2017-18,1610612738,Celtics,BOS,Boston,2017-18
1610612738_RightLong3_2017-18,1610612738,RightLong3,79,20,3,0.759493670886076,1.3044732180241259,0.7395985673075801,0.3075621153061459,2017-18,2017-12-18T08:16:20.04,1610612738_2017-18,1610612738,Celtics,BOS,Boston,2017-18
1610612739_Left11FT_2017-18,1610612739,Left11FT,144,53,2,0.7361111111111112,0.964553085278871,0.7704838005870738,0.14331118197192752,2017-18,2017-12-18T08:16:20.04,1610612739_2017-18,1610612739,Cavaliers,CLE,Cleveland,2017-18
1610612739_Left18FT_2017-18,1610612739,Left18FT,120,39,2,0.65,0.9367496997597599,0.7799767183403977,0.1733962116460768,2017-18,2017-12-18T08:16:20.04,1610612739_2017-18,1610612739,Cavaliers,CLE,Cleveland,2017-18
1610612739_Left23FT_2017-18,1610612739,Left23FT,72,32,2,0.8888888888888888,0.9938079899999073,0.8107873939166924,0.12009429358645195,2017-18,2017-12-18T08:16:20.04,1610612739_2017-18,1610612739,Cavaliers,CLE,Cleveland,2017-18
1610612739_Left27FT_2017-18,1610612739,Left27FT,301,103,3,1.026578073089701,1.4233311909462723,1.0489787043686671,0.1580230560191052,2017-18,2017-12-18T08:16:20.04,1610612739_2017-18,1610612739,Cavaliers,CLE,Cleveland,2017-18
1610612739_LeftBaseline11FT_2017-18,1610612739,LeftBaseline11FT,30,16,2,1.0666666666666667,0.9977753031397179,0.7013587903268438,0.27098021691821034,2017-18,2017-12-18T08:16:20.04,1610612739_2017-18,1610612739,Cavaliers,CLE,Cleveland,2017-18
1610612739_LeftBaseline18FT_2017-18,1610612739,LeftBaseline18FT,41,16,2,0.7804878048780488,0.9756097560975607,0.7204851825117009,0.2543707406717082,2017-18,2017-12-18T08:16:20.04,1610612739_2017-18,1610612739,Cavaliers,CLE,Cleveland,2017-18
1610612739_LeftBaseline23FT_2017-18,1610612739,LeftBaseline23FT,8,5,2,1.25,0.9682458365518543,0.8630248335893497,0.20717229240696516,2017-18,2017-12-18T08:16:20.04,1610612739_2017-18,1610612739,Cavaliers,CLE,Cleveland,2017-18
1610612739_LeftCorner_2017-18,1610612739,LeftCorner,115,55,3,1.434782608695652,1.4985815599664443,1.1426204248415794,0.2680748234593515,2017-18,2017-12-18T08:16:20.04,1610612739_2017-18,1610612739,Cavaliers,CLE,Cleveland,2017-18
1610612739_LeftLong3_2017-18,1610612739,LeftLong3,106,27,3,0.7641509433962265,1.3071060270289223,0.7843224137662427,0.2508909523087782,2017-18,2017-12-18T08:16:20.04,1610612739_2017-18,1610612739,Cavaliers,CLE,Cleveland,2017-18
1610612739_RestrictedArea_2017-18,1610612739,RestrictedArea,852,547,2,1.284037558685446,0.9588131545071844,1.2058141468737436,0.12483508010488403,2017-18,2017-12-18T08:16:20.04,1610612739_2017-18,1610612739,Cavaliers,CLE,Cleveland,2017-18
1610612739_Right11FT_2017-18,1610612739,Right11FT,124,58,2,0.9354838709677419,0.9979166644037436,0.7728627744601668,0.16849118975909508,2017-18,2017-12-18T08:16:20.04,1610612739_2017-18,1610612739,Cavaliers,CLE,Cleveland,2017-18
1610612739_Right18FT_2017-18,1610612739,Right18FT,141,53,2,0.75177304964539,0.9687019051894387,0.7892787515877462,0.22629393227029868,2017-18,2017-12-18T08:16:20.04,1610612739_2017-18,1610612739,Cavaliers,CLE,Cleveland,2017-18
1610612739_Right23FT_2017-18,1610612739,Right23FT,92,31,2,0.6739130434782609,0.9453397784851696,0.7661910982047175,0.18238430848442225,2017-18,2017-12-18T08:16:20.04,1610612739_2017-18,1610612739,Cavaliers,CLE,Cleveland,2017-18
1610612739_Right27FT_2017-18,1610612739,Right27FT,262,96,3,1.099236641221374,1.4454718019596489,1.050220823609022,0.1541464993896609,2017-18,2017-12-18T08:16:20.04,1610612739_2017-18,1610612739,Cavaliers,CLE,Cleveland,2017-18
1610612739_RightBaseline11FT_2017-18,1610612739,RightBaseline11FT,25,5,2,0.4,0.8,0.6305890656989238,0.32732931535127635,2017-18,2017-12-18T08:16:20.04,1610612739_2017-18,1610612739,Cavaliers,CLE,Cleveland,2017-18
1610612739_RightBaseline18FT_2017-18,1610612739,RightBaseline18FT,43,21,2,0.9767441860465116,0.9997295469862637,0.7585997938636835,0.2160438557154801,2017-18,2017-12-18T08:16:20.04,1610612739_2017-18,1610612739,Cavaliers,CLE,Cleveland,2017-18
1610612739_RightBaseline23FT_2017-18,1610612739,RightBaseline23FT,7,3,2,0.8571428571428571,0.989743318610787,0.8029961782283764,0.6405376638953595,2017-18,2017-12-18T08:16:20.04,1610612739_2017-18,1610612739,Cavaliers,CLE,Cleveland,2017-18
1610612739_RightCorner_2017-18,1610612739,RightCorner,106,50,3,1.4150943396226414,1.4975950817346746,1.215681753313057,0.271625005701291,2017-18,2017-12-18T08:16:20.04,1610612739_2017-18,1610612739,Cavaliers,CLE,Cleveland,2017-18
1610612739_RightLong3_2017-18,1610612739,RightLong3,108,41,3,1.1388888888888888,1.4558841868198507,0.7745736351749178,0.38790705779303336,2017-18,2017-12-18T08:16:20.04,1610612739_2017-18,1610612739,Cavaliers,CLE,Cleveland,2017-18
1610612740_Left11FT_2017-18,1610612740,Left11FT,142,63,2,0.8873239436619719,0.9936317760257626,0.7977620954660529,0.16811970483028837,2017-18,2017-12-18T08:16:20.04,1610612740_2017-18,1610612740,Pelicans,NOP,"New Orleans",2017-18
1610612740_Left18FT_2017-18,1610612740,Left18FT,136,55,2,0.8088235294117647,0.9815556821156014,0.815242944917058,0.1704025124960849,2017-18,2017-12-18T08:16:20.04,1610612740_2017-18,1610612740,Pelicans,NOP,"New Orleans",2017-18
1610612740_Left23FT_2017-18,1610612740,Left23FT,122,47,2,0.7704918032786885,0.973306728445731,0.7834729581931782,0.12753757577410435,2017-18,2017-12-18T08:16:20.04,1610612740_2017-18,1610612740,Pelicans,NOP,"New Orleans",2017-18
1610612740_Left27FT_2017-18,1610612740,Left27FT,321,117,3,1.0934579439252337,1.4438571801402287,1.049382630688262,0.17906575225309196,2017-18,2017-12-18T08:16:20.04,1610612740_2017-18,1610612740,Pelicans,NOP,"New Orleans",2017-18
1610612740_LeftBaseline11FT_2017-18,1610612740,LeftBaseline11FT,32,9,2,0.5625,0.899218410621135,0.7298558453596932,0.2632344429807098,2017-18,2017-12-18T08:16:20.04,1610612740_2017-18,1610612740,Pelicans,NOP,"New Orleans",2017-18
1610612740_LeftBaseline18FT_2017-18,1610612740,LeftBaseline18FT,35,11,2,0.6285714285714286,0.9284615319583954,0.785357645345306,0.15659896589150907,2017-18,2017-12-18T08:16:20.04,1610612740_2017-18,1610612740,Pelicans,NOP,"New Orleans",2017-18
1610612740_LeftBaseline23FT_2017-18,1610612740,LeftBaseline23FT,16,7,2,0.875,0.9921567416492215,0.764429440411089,0.27589796516506093,2017-18,2017-12-18T08:16:20.04,1610612740_2017-18,1610612740,Pelicans,NOP,"New Orleans",2017-18
1610612740_LeftCorner_2017-18,1610612740,LeftCorner,110,38,3,1.0363636363636364,1.4265487451587653,1.1313862343693455,0.2483092687454985,2017-18,2017-12-18T08:16:20.04,1610612740_2017-18,1610612740,Pelicans,NOP,"New Orleans",2017-18
1610612740_LeftLong3_2017-18,1610612740,LeftLong3,85,32,3,1.1294117647058823,1.4535007257863994,0.8729448526468689,0.3242001972342403,2017-18,2017-12-18T08:16:20.04,1610612740_2017-18,1610612740,Pelicans,NOP,"New Orleans",2017-18
1610612740_RestrictedArea_2017-18,1610612740,RestrictedArea,814,526,2,1.2923832923832923,0.9563012131829062,1.2223793155970868,0.1315979052944315,2017-18,2017-12-18T08:16:20.04,1610612740_2017-18,1610612740,Pelicans,NOP,"New Orleans",2017-18
1610612740_Right11FT_2017-18,1610612740,Right11FT,142,59,2,0.8309859154929577,0.9856136358828674,0.8064969306766342,0.20259147797764013,2017-18,2017-12-18T08:16:20.04,1610612740_2017-18,1610612740,Pelicans,NOP,"New Orleans",2017-18
1610612740_Right18FT_2017-18,1610612740,Right18FT,141,60,2,0.851063829787234,0.9888468117976387,0.7933817156643393,0.1997335088012227,2017-18,2017-12-18T08:16:20.04,1610612740_2017-18,1610612740,Pelicans,NOP,"New Orleans",2017-18
1610612740_Right23FT_2017-18,1610612740,Right23FT,101,44,2,0.8712871287128713,0.9916819030137763,0.7875844318795262,0.16298528596967043,2017-18,2017-12-18T08:16:20.04,1610612740_2017-18,1610612740,Pelicans,NOP,"New Orleans",2017-18
1610612740_Right27FT_2017-18,1610612740,Right27FT,265,103,3,1.1660377358490566,1.4623505756565958,1.0827840616294442,0.16200046727832593,2017-18,2017-12-18T08:16:20.04,1610612740_2017-18,1610612740,Pelicans,NOP,"New Orleans",2017-18
1610612740_RightBaseline11FT_2017-18,1610612740,RightBaseline11FT,38,12,2,0.631578947368421,0.9296590385608259,0.680188142348397,0.37295979153252135,2017-18,2017-12-18T08:16:20.04,1610612740_2017-18,1610612740,Pelicans,NOP,"New Orleans",2017-18
1610612740_RightBaseline18FT_2017-18,1610612740,RightBaseline18FT,28,9,2,0.6428571428571429,0.9340497736158585,0.7844690438037264,0.1566935794874041,2017-18,2017-12-18T08:16:20.04,1610612740_2017-18,1610612740,Pelicans,NOP,"New Orleans",2017-18
