primaryKey,teamId,bin,attempts,made,value,pointsAvg,pointsStDev,expectedPointsAvg,expectedPointsStDev,season,dt,primaryKey,teamId,teamName,teamAbbreviation,teamCity,season
1610612737_Left11FT_2017-18,1610612737,Left11FT,94,29,2,0.6170212765957447,0.9237571636635065,0.644073485407764,0.20073003445010967,2017-18,2017-12-05T00:06:10.71,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_Left18FT_2017-18,1610612737,Left18FT,101,43,2,0.8514851485148515,0.9889101773610907,0.785628802116104,0.24464562094426429,2017-18,2017-12-05T00:06:10.71,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_Left23FT_2017-18,1610612737,Left23FT,82,30,2,0.7317073170731707,0.9633374467381215,0.7658721297407663,0.171287576551687,2017-18,2017-12-05T00:06:10.71,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_Left27FT_2017-18,1610612737,Left27FT,208,80,3,1.1538461538461537,1.4595127662315592,1.1288099382175931,0.20514225586376172,2017-18,2017-12-05T00:06:10.71,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_LeftBaseline11FT_2017-18,1610612737,LeftBaseline11FT,12,1,2,0.16666666666666666,0.5527707983925666,0.445578231292517,0.23968532854597865,2017-18,2017-12-05T00:06:10.71,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_LeftBaseline18FT_2017-18,1610612737,LeftBaseline18FT,28,13,2,0.9285714285714286,0.9974457174120669,0.7601413155682605,0.23228945044308935,2017-18,2017-12-05T00:06:10.71,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_LeftBaseline23FT_2017-18,1610612737,LeftBaseline23FT,9,4,2,0.8888888888888888,0.9938079899999066,0.9598677248677249,0.6090519845365129,2017-18,2017-12-05T00:06:10.71,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_LeftCorner_2017-18,1610612737,LeftCorner,100,33,3,0.99,1.4106381534610484,1.0873855864781314,0.3657011551991069,2017-18,2017-12-05T00:06:10.71,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_LeftLong3_2017-18,1610612737,LeftLong3,21,7,3,1,1.4142135623730951,0.8590809573568194,0.28043154057594,2017-18,2017-12-05T00:06:10.71,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_RestrictedArea_2017-18,1610612737,RestrictedArea,600,369,2,1.23,0.9731906288081444,1.1905185201171211,0.15788060697350773,2017-18,2017-12-05T00:06:10.71,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_Right11FT_2017-18,1610612737,Right11FT,79,27,2,0.6835443037974683,0.9486072908959589,0.6120577319600311,0.31041874006003206,2017-18,2017-12-05T00:06:10.71,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_Right18FT_2017-18,1610612737,Right18FT,138,55,2,0.7971014492753623,0.9791997641512382,0.7910432531141474,0.3051374935081752,2017-18,2017-12-05T00:06:10.71,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_Right23FT_2017-18,1610612737,Right23FT,75,33,2,0.88,0.9927738916792682,0.7534156587637888,0.248418577453117,2017-18,2017-12-05T00:06:10.71,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_Right27FT_2017-18,1610612737,Right27FT,186,67,3,1.0806451612903225,1.4401880152434186,0.9896265657717688,0.25642296145348564,2017-18,2017-12-05T00:06:10.71,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_RightBaseline11FT_2017-18,1610612737,RightBaseline11FT,22,4,2,0.36363636363636365,0.7713892158398699,0.606817107242639,0.2457125280620281,2017-18,2017-12-05T00:06:10.71,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_RightBaseline18FT_2017-18,1610612737,RightBaseline18FT,23,13,2,1.1304347826086956,0.9914568913905546,1.0453972167972965,0.26583378148876113,2017-18,2017-12-05T00:06:10.71,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_RightBaseline23FT_2017-18,1610612737,RightBaseline23FT,8,5,2,1.25,0.9682458365518543,1.2840725806451614,0.4158250203618902,2017-18,2017-12-05T00:06:10.71,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_RightCorner_2017-18,1610612737,RightCorner,82,43,3,1.5731707317073171,1.4982142850812157,1.3860067375343499,0.39098067651970103,2017-18,2017-12-05T00:06:10.71,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_RightLong3_2017-18,1610612737,RightLong3,16,4,3,0.75,1.299038105676658,0.3629697986577181,0.4115918606153275,2017-18,2017-12-05T00:06:10.71,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612738_Left11FT_2017-18,1610612738,Left11FT,104,41,2,0.7884615384615384,0.9773696738133129,0.7591963966670014,0.15660152208640726,2017-18,2017-12-05T00:06:10.71,1610612738_2017-18,1610612738,Celtics,BOS,Boston,2017-18
1610612738_Left18FT_2017-18,1610612738,Left18FT,88,36,2,0.8181818181818182,0.9833321660356334,0.8298401904450501,0.0908289185113674,2017-18,2017-12-05T00:06:10.71,1610612738_2017-18,1610612738,Celtics,BOS,Boston,2017-18
1610612738_Left23FT_2017-18,1610612738,Left23FT,52,20,2,0.7692307692307693,0.9730085108210396,0.7499593239146141,0.2481163342649943,2017-18,2017-12-05T00:06:10.71,1610612738_2017-18,1610612738,Celtics,BOS,Boston,2017-18
1610612738_Left27FT_2017-18,1610612738,Left27FT,228,84,3,1.105263157894737,1.4471291668281576,0.9975520917042442,0.1676451053400394,2017-18,2017-12-05T00:06:10.71,1610612738_2017-18,1610612738,Celtics,BOS,Boston,2017-18
1610612738_LeftBaseline11FT_2017-18,1610612738,LeftBaseline11FT,24,9,2,0.75,0.9682458365518543,0.7421009346117343,0.32107441781754553,2017-18,2017-12-05T00:06:10.71,1610612738_2017-18,1610612738,Celtics,BOS,Boston,2017-18
1610612738_LeftBaseline18FT_2017-18,1610612738,LeftBaseline18FT,32,18,2,1.125,0.9921567416492215,0.9568692496064211,0.16335416091675156,2017-18,2017-12-05T00:06:10.71,1610612738_2017-18,1610612738,Celtics,BOS,Boston,2017-18
1610612738_LeftBaseline23FT_2017-18,1610612738,LeftBaseline23FT,5,3,2,1.2,0.9797958971132713,0.587655550024888,0.2968454490817021,2017-18,2017-12-05T00:06:10.71,1610612738_2017-18,1610612738,Celtics,BOS,Boston,2017-18
1610612738_LeftCorner_2017-18,1610612738,LeftCorner,87,37,3,1.2758620689655173,1.4831595288004538,1.2069789563684485,0.4275962114426244,2017-18,2017-12-05T00:06:10.71,1610612738_2017-18,1610612738,Celtics,BOS,Boston,2017-18
1610612738_LeftLong3_2017-18,1610612738,LeftLong3,41,16,3,1.170731707317073,1.4634146341463414,0.7238336195255323,0.4710062193238828,2017-18,2017-12-05T00:06:10.71,1610612738_2017-18,1610612738,Celtics,BOS,Boston,2017-18
1610612738_RestrictedArea_2017-18,1610612738,RestrictedArea,619,359,2,1.1599353796445881,0.9871274863653341,1.1598402691880854,0.13676010783739814,2017-18,2017-12-05T00:06:10.71,1610612738_2017-18,1610612738,Celtics,BOS,Boston,2017-18
1610612738_Right11FT_2017-18,1610612738,Right11FT,102,35,2,0.6862745098039216,0.9495137264943734,0.6969073980289191,0.18418424661946836,2017-18,2017-12-05T00:06:10.71,1610612738_2017-18,1610612738,Celtics,BOS,Boston,2017-18
