primaryKey,teamId,bin,attempts,made,value,pointsAvg,pointsStDev,expectedPointsAvg,expectedPointsStDev,season,dt,primaryKey,teamId,teamName,teamAbbreviation,teamCity,season
1610612737_Total_2017-18,1610612737,Total,2232,1053,3,1.082437275985663,1.1873797885237716,1.0213803054940287,0.2641375376246707,2017-18,2017-12-11T22:16:32.987,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612738_Total_2017-18,1610612738,Total,2350,1023,2,0.9761702127659575,1.1471825861305514,0.9993079529060092,0.25757293447744184,2017-18,2017-12-11T22:16:32.987,1610612738_2017-18,1610612738,Celtics,BOS,Boston,2017-18
1610612739_Total_2017-18,1610612739,Total,2338,1085,3,1.0641573994867408,1.1848733640464564,1.0005380653097233,0.2779181201308655,2017-18,2017-12-11T22:16:32.987,1610612739_2017-18,1610612739,Cavaliers,CLE,Cleveland,2017-18
1610612740_Total_2017-18,1610612740,Total,2414,1117,2,1.0530240265120132,1.1747151331263286,1.0067089390831154,0.2729255004500132,2017-18,2017-12-11T22:16:32.987,1610612740_2017-18,1610612740,Pelicans,NOP,"New Orleans",2017-18
1610612741_Total_2017-18,1610612741,Total,2132,994,2,1.0637898686679175,1.178951695494823,1.0253028498172205,0.2788017932234941,2017-18,2017-12-11T22:16:32.987,1610612741_2017-18,1610612741,Bulls,CHI,Chicago,2017-18
1610612742_Total_2017-18,1610612742,Total,2227,1017,2,1.0458015267175573,1.181227251468374,0.9965978457883443,0.28100144691339296,2017-18,2017-12-11T22:16:32.987,1610612742_2017-18,1610612742,Mavericks,DAL,Dallas,2017-18
1610612743_Total_2017-18,1610612743,Total,2225,1071,2,1.093932584269663,1.1768111721006917,1.0009719780152964,0.282433811421064,2017-18,2017-12-11T22:16:32.987,1610612743_2017-18,1610612743,Nuggets,DEN,Denver,2017-18
1610612744_Total_2017-18,1610612744,Total,2434,1052,2,0.9802793755135579,1.160683894754902,1.0022404721128988,0.2636687664983937,2017-18,2017-12-11T22:16:32.987,1610612744_2017-18,1610612744,Warriors,GSW,"Golden State",2017-18
1610612745_Total_2017-18,1610612745,Total,2035,930,2,1.0358722358722359,1.1680390183103846,1.0172616955331195,0.28009376049040796,2017-18,2017-12-11T22:16:32.987,1610612745_2017-18,1610612745,Rockets,HOU,Houston,2017-18
1610612746_Total_2017-18,1610612746,Total,2014,942,2,1.0645481628599802,1.1760622907955671,1.0046571325001366,0.2855176122829264,2017-18,2017-12-11T22:16:32.987,1610612746_2017-18,1610612746,Clippers,LAC,LA,2017-18
1610612747_Total_2017-18,1610612747,Total,2250,1023,3,1.0195555555555555,1.1533794895495415,1.0131861482669733,0.2711533895734281,2017-18,2017-12-11T22:16:32.987,1610612747_2017-18,1610612747,Lakers,LAL,"Los Angeles",2017-18
1610612748_Total_2017-18,1610612748,Total,2091,952,2,1.0196078431372548,1.1518384195824092,1.0094545219309723,0.2682810304297787,2017-18,2017-12-11T22:16:32.987,1610612748_2017-18,1610612748,Heat,MIA,Miami,2017-18
1610612749_Total_2017-18,1610612749,Total,2006,924,2,1.051345962113659,1.178003652428862,1.006334551959056,0.28329566200808765,2017-18,2017-12-11T22:16:32.987,1610612749_2017-18,1610612749,Bucks,MIL,Milwaukee,2017-18
1610612750_Total_2017-18,1610612750,Total,2292,1105,3,1.0890052356020943,1.1689412379472424,1.009791836195545,0.2744232243626841,2017-18,2017-12-11T22:16:32.987,1610612750_2017-18,1610612750,Timberwolves,MIN,Minnesota,2017-18
1610612751_Total_2017-18,1610612751,Total,2243,1034,3,1.0329915292019616,1.154100373169713,0.9870778332493451,0.2651729476899715,2017-18,2017-12-11T22:16:32.987,1610612751_2017-18,1610612751,Nets,BKN,Brooklyn,2017-18
1610612752_Total_2017-18,1610612752,Total,2181,972,2,1.0320953690967447,1.1921632621168632,1.022822819842667,0.27606383363887343,2017-18,2017-12-11T22:16:32.987,1610612752_2017-18,1610612752,Knicks,NYK,"New York",2017-18
1610612753_Total_2017-18,1610612753,Total,2488,1162,2,1.0438102893890675,1.1520680200632125,1.005860701908893,0.27354662288000464,2017-18,2017-12-11T22:16:32.987,1610612753_2017-18,1610612753,Magic,ORL,Orlando,2017-18
1610612754_Total_2017-18,1610612754,Total,2385,1121,3,1.0662473794549265,1.1722745569688733,1.0075109705860794,0.26839038926448444,2017-18,2017-12-11T22:16:32.987,1610612754_2017-18,1610612754,Pacers,IND,Indiana,2017-18
1610612755_Total_2017-18,1610612755,Total,2268,1009,3,1.0110229276895943,1.167747878962665,0.9821184664845045,0.2830000129753018,2017-18,2017-12-11T22:16:32.987,1610612755_2017-18,1610612755,76ers,PHI,Philadelphia,2017-18
1610612756_Total_2017-18,1610612756,Total,2524,1188,2,1.059825673534073,1.162673282297889,1.0047007974217292,0.27846812420874284,2017-18,2017-12-11T22:16:32.987,1610612756_2017-18,1610612756,Suns,PHX,Phoenix,2017-18
1610612757_Total_2017-18,1610612757,Total,2123,942,2,0.9891662741403674,1.1424145835423258,1.00667116962233,0.2628609077641361,2017-18,2017-12-11T22:16:32.987,1610612757_2017-18,1610612757,"Trail Blazers",POR,Portland,2017-18
1610612758_Total_2017-18,1610612758,Total,2124,1010,2,1.0988700564971752,1.1973836213958353,1.0219112708981901,0.26597886725455616,2017-18,2017-12-11T22:16:32.987,1610612758_2017-18,1610612758,Kings,SAC,Sacramento,2017-18
1610612759_Total_2017-18,1610612759,Total,2227,1009,2,1.016614279299506,1.1537380476356576,1.0035448510290115,0.2674673312874535,2017-18,2017-12-11T22:16:32.987,1610612759_2017-18,1610612759,Spurs,SAS,"San Antonio",2017-18
1610612760_Total_2017-18,1610612760,Total,1979,883,2,1.0237493683678625,1.180497531241251,1.0193096142499218,0.27834670672501505,2017-18,2017-12-11T22:16:32.987,1610612760_2017-18,1610612760,Thunder,OKC,"Oklahoma City",2017-18
1610612761_Total_2017-18,1610612761,Total,2003,905,2,1.0169745381927109,1.1574549149019648,0.9961426296633148,0.2804394668626819,2017-18,2017-12-11T22:16:32.987,1610612761_2017-18,1610612761,Raptors,TOR,Toronto,2017-18
1610612762_Total_2017-18,1610612762,Total,2166,987,2,1.0323176361957525,1.1669774877080064,1.0039923024963648,0.25191413932166384,2017-18,2017-12-11T22:16:32.987,1610612762_2017-18,1610612762,Jazz,UTA,Utah,2017-18
1610612763_Total_2017-18,1610612763,Total,2085,933,2,1.0215827338129497,1.1744744785260746,1.0231469977513032,0.2485332954991234,2017-18,2017-12-11T22:16:32.987,1610612763_2017-18,1610612763,Grizzlies,MEM,Memphis,2017-18
1610612764_Total_2017-18,1610612764,Total,2176,992,2,1.0261948529411764,1.1587080179475,1.00796083618039,0.2780914198000907,2017-18,2017-12-11T22:16:32.987,1610612764_2017-18,1610612764,Wizards,WAS,Washington,2017-18
1610612765_Total_2017-18,1610612765,Total,2150,999,2,1.0493023255813954,1.1651477505845678,1.0044931366475156,0.2710231226308873,2017-18,2017-12-11T22:16:32.987,1610612765_2017-18,1610612765,Pistons,DET,Detroit,2017-18
1610612766_Total_2017-18,1610612766,Total,2217,1005,3,1.0288678394226431,1.1687080133689416,1.0013798969365442,0.26099090395408425,2017-18,2017-12-11T22:16:32.987,1610612766_2017-18,1610612766,Hornets,CHA,Charlotte,2017-18
