primaryKey,teamId,bin,attempts,made,value,pointsAvg,pointsStDev,expectedPointsAvg,expectedPointsStDev,season,dt,primaryKey,teamId,teamName,teamAbbreviation,teamCity,season
1610612737_Total_2015-16,1610612737,Total,1206,536,2,0.9925373134328358,1.144940863949333,1.0222859592122229,0.22664994037567274,2015-16,2017-11-20T01:11:00.469,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_Total_2016-17,1610612737,Total,1054,446,2,0.9440227703984819,1.135797266338292,1.0000762389821016,0.2429154587012709,2016-17,2017-11-20T01:11:48.121,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612738_Total_2015-16,1610612738,Total,887,381,2,0.9492671927846674,1.1260555732676638,1.0146274640904707,0.24252849201195445,2015-16,2017-11-20T01:11:00.469,1610612738_2017-18,1610612738,Celtics,BOS,Boston,2017-18
1610612738_Total_2016-17,1610612738,Total,1041,459,3,0.989433237271854,1.1500673519975406,1.0006298413451213,0.24709316414972166,2016-17,2017-11-20T01:11:48.121,1610612738_2017-18,1610612738,Celtics,BOS,Boston,2017-18
1610612739_Total_2015-16,1610612739,Total,1004,436,2,0.9492031872509961,1.1133065868504068,0.9808929149436351,0.24691015248569223,2015-16,2017-11-20T01:11:00.469,1610612739_2017-18,1610612739,Cavaliers,CLE,Cleveland,2017-18
1610612739_Total_2016-17,1610612739,Total,1070,467,2,0.9822429906542056,1.1522682291014887,0.9861586791407796,0.24814712500842856,2016-17,2017-11-20T01:11:48.121,1610612739_2017-18,1610612739,Cavaliers,CLE,Cleveland,2017-18
1610612740_Total_2015-16,1610612740,Total,1028,490,2,1.0632295719844358,1.1514202352710505,1.023131075707994,0.23370035157359095,2015-16,2017-11-20T01:11:00.469,1610612740_2017-18,1610612740,Pelicans,NOP,"New Orleans",2017-18
1610612740_Total_2016-17,1610612740,Total,1069,479,2,1.0093545369504209,1.157360006194591,1.0224237623441426,0.25426086287263655,2016-17,2017-11-20T01:11:48.121,1610612740_2017-18,1610612740,Pelicans,NOP,"New Orleans",2017-18
1610612741_Total_2015-16,1610612741,Total,1025,418,2,0.8985365853658537,1.1128727075886333,0.9827202396439733,0.25147428940773714,2015-16,2017-11-20T01:11:00.469,1610612741_2017-18,1610612741,Bulls,CHI,Chicago,2017-18
1610612741_Total_2016-17,1610612741,Total,1040,458,2,0.9788461538461538,1.1374459477371508,1.0010574387793767,0.25551740723930205,2016-17,2017-11-20T01:11:48.121,1610612741_2017-18,1610612741,Bulls,CHI,Chicago,2017-18
1610612742_Total_2015-16,1610612742,Total,1034,439,3,0.9468085106382979,1.1358729752674983,1.0011132759946006,0.23667330183286098,2015-16,2017-11-20T01:11:00.469,1610612742_2017-18,1610612742,Mavericks,DAL,Dallas,2017-18
1610612742_Total_2016-17,1610612742,Total,788,362,2,1.0558375634517767,1.186612691318496,1.0124802037445055,0.23953101581979927,2016-17,2017-11-20T01:11:48.121,1610612742_2017-18,1610612742,Mavericks,DAL,Dallas,2017-18
1610612743_Total_2015-16,1610612743,Total,1008,455,3,1.0148809523809523,1.1558927636531748,1.0367408014916322,0.23968730380817557,2015-16,2017-11-20T01:11:00.469,1610612743_2017-18,1610612743,Nuggets,DEN,Denver,2017-18
1610612743_Total_2016-17,1610612743,Total,979,454,2,1.0112359550561798,1.118548419331303,0.998642987391456,0.2500141418917515,2016-17,2017-11-20T01:11:48.121,1610612743_2017-18,1610612743,Nuggets,DEN,Denver,2017-18
1610612744_Total_2015-16,1610612744,Total,1135,486,2,0.9242290748898678,1.0944327279384674,0.9763037798310689,0.23580503676577513,2015-16,2017-11-20T01:11:00.469,1610612744_2017-18,1610612744,Warriors,GSW,"Golden State",2017-18
1610612744_Total_2016-17,1610612744,Total,1071,473,2,0.9878618113912232,1.1461143723788467,0.9881157895312296,0.2790157494592215,2016-17,2017-11-20T01:11:48.121,1610612744_2017-18,1610612744,Warriors,GSW,"Golden State",2017-18
1610612745_Total_2015-16,1610612745,Total,1062,493,2,1.027306967984934,1.1383604433530587,1.0144084557888415,0.24973259093016,2015-16,2017-11-20T01:11:00.469,1610612745_2017-18,1610612745,Rockets,HOU,Houston,2017-18
1610612745_Total_2016-17,1610612745,Total,1020,463,2,1.0166666666666666,1.151604450520024,0.9947155066539888,0.2519694707367219,2016-17,2017-11-20T01:11:48.121,1610612745_2017-18,1610612745,Rockets,HOU,Houston,2017-18
1610612746_Total_2015-16,1610612746,Total,943,424,2,1.005302226935313,1.1480877590621272,0.9855211127107714,0.23973925544381175,2015-16,2017-11-20T01:11:00.469,1610612746_2017-18,1610612746,Clippers,LAC,LA,2017-18
1610612746_Total_2016-17,1610612746,Total,982,405,2,0.9205702647657841,1.1317508382724875,0.9728277833690254,0.2728171024680165,2016-17,2017-11-20T01:11:48.121,1610612746_2017-18,1610612746,Clippers,LAC,LA,2017-18
1610612747_Total_2015-16,1610612747,Total,986,433,2,0.962474645030426,1.1185380390008246,1.0014463282668893,0.23052529289746684,2015-16,2017-11-20T01:11:00.469,1610612747_2017-18,1610612747,Lakers,LAL,"Los Angeles",2017-18
1610612747_Total_2016-17,1610612747,Total,1039,483,2,1.0279114533205005,1.1374246816823543,1.039936201323199,0.23899058656280595,2016-17,2017-11-20T01:11:48.121,1610612747_2017-18,1610612747,Lakers,LAL,"Los Angeles",2017-18
1610612748_Total_2015-16,1610612748,Total,837,338,2,0.8781362007168458,1.0939007032059413,0.9954820360045954,0.24096106631512224,2015-16,2017-11-20T01:11:00.469,1610612748_2017-18,1610612748,Heat,MIA,Miami,2017-18
1610612748_Total_2016-17,1610612748,Total,938,389,2,0.9104477611940298,1.1113283758629473,0.9874818746283114,0.24226858187819011,2016-17,2017-11-20T01:11:48.121,1610612748_2017-18,1610612748,Heat,MIA,Miami,2017-18
1610612749_Total_2015-16,1610612749,Total,968,445,2,1.024793388429752,1.1469529154980678,1.0242932269212768,0.24426999581066067,2015-16,2017-11-20T01:11:00.469,1610612749_2017-18,1610612749,Bucks,MIL,Milwaukee,2017-18
1610612749_Total_2016-17,1610612749,Total,932,404,2,0.9667381974248928,1.1394076863289253,0.9959030350083454,0.2618186549538212,2016-17,2017-11-20T01:11:48.121,1610612749_2017-18,1610612749,Bucks,MIL,Milwaukee,2017-18
1610612750_Total_2015-16,1610612750,Total,1036,460,2,0.9913127413127413,1.1444518737727907,1.0179587901111131,0.22969900035347804,2015-16,2017-11-20T01:11:00.469,1610612750_2017-18,1610612750,Timberwolves,MIN,Minnesota,2017-18
1610612750_Total_2016-17,1610612750,Total,877,413,2,1.0513112884834663,1.1514162574709281,0.9956098172838767,0.26112250976774304,2016-17,2017-11-20T01:11:48.121,1610612750_2017-18,1610612750,Timberwolves,MIN,Minnesota,2017-18
1610612751_Total_2015-16,1610612751,Total,997,458,2,1.037111334002006,1.1634809600828697,1.0335394021489996,0.22472326673944074,2015-16,2017-11-20T01:11:00.469,1610612751_2017-18,1610612751,Nets,BKN,Brooklyn,2017-18
1610612751_Total_2016-17,1610612751,Total,1010,455,3,1.007920792079208,1.1492298900832498,1.0148063340109121,0.24040673971464663,2016-17,2017-11-20T01:11:48.121,1610612751_2017-18,1610612751,Nets,BKN,Brooklyn,2017-18
1610612752_Total_2015-16,1610612752,Total,994,426,2,0.9346076458752515,1.1082049477507363,1.0076467832232907,0.23198221501447844,2015-16,2017-11-20T01:11:00.469,1610612752_2017-18,1610612752,Knicks,NYK,"New York",2017-18
1610612752_Total_2016-17,1610612752,Total,1019,465,3,1.028459273797841,1.1604264220200846,1.0182026617942725,0.24705446496452918,2016-17,2017-11-20T01:11:48.121,1610612752_2017-18,1610612752,Knicks,NYK,"New York",2017-18
1610612753_Total_2015-16,1610612753,Total,1036,438,2,0.944980694980695,1.138084102488794,1.0207550319102896,0.22990606484482254,2015-16,2017-11-20T01:11:00.469,1610612753_2017-18,1610612753,Magic,ORL,Orlando,2017-18
1610612753_Total_2016-17,1610612753,Total,1048,475,2,0.9914122137404581,1.1201326895924377,0.990307377579313,0.2562528825192315,2016-17,2017-11-20T01:11:48.121,1610612753_2017-18,1610612753,Magic,ORL,Orlando,2017-18
1610612754_Total_2015-16,1610612754,Total,980,432,3,0.963265306122449,1.115145067446114,0.9981165481039306,0.24347842198223515,2015-16,2017-11-20T01:11:00.469,1610612754_2017-18,1610612754,Pacers,IND,Indiana,2017-18
1610612754_Total_2016-17,1610612754,Total,1039,467,3,1.014436958614052,1.1602924549281544,1.0041631285912218,0.2621169289812714,2016-17,2017-11-20T01:11:48.121,1610612754_2017-18,1610612754,Pacers,IND,Indiana,2017-18
1610612755_Total_2015-16,1610612755,Total,1046,464,2,0.9770554493307839,1.1265309662667393,0.991238324495725,0.24653225813922364,2015-16,2017-11-20T01:11:00.469,1610612755_2017-18,1610612755,76ers,PHI,Philadelphia,2017-18
1610612755_Total_2016-17,1610612755,Total,1064,503,3,1.0516917293233083,1.147142967409013,1.012495434845125,0.2483565553878477,2016-17,2017-11-20T01:11:48.121,1610612755_2017-18,1610612755,76ers,PHI,Philadelphia,2017-18
1610612756_Total_2015-16,1610612756,Total,928,422,2,1.0075431034482758,1.1375957700664718,1.0009750589066553,0.23499230466306392,2015-16,2017-11-20T01:11:00.469,1610612756_2017-18,1610612756,Suns,PHX,Phoenix,2017-18
1610612756_Total_2016-17,1610612756,Total,1063,491,2,1.0357478833490121,1.1552333294890278,0.9986096853848689,0.24687593715560993,2016-17,2017-11-20T01:11:48.121,1610612756_2017-18,1610612756,Suns,PHX,Phoenix,2017-18
1610612757_Total_2015-16,1610612757,Total,1117,496,2,0.9794091316025068,1.1285052464831897,1.0088293374225212,0.23785872994935509,2015-16,2017-11-20T01:11:00.469,1610612757_2017-18,1610612757,"Trail Blazers",POR,Portland,2017-18
1610612757_Total_2016-17,1610612757,Total,1173,521,3,0.9812446717817562,1.1306726388217114,1.0176646089471029,0.25438424845719254,2016-17,2017-11-20T01:11:48.121,1610612757_2017-18,1610612757,"Trail Blazers",POR,Portland,2017-18
1610612758_Total_2015-16,1610612758,Total,1026,483,3,1.0467836257309941,1.1461242367421056,0.9976720638208668,0.2505778378932168,2015-16,2017-11-20T01:11:00.469,1610612758_2017-18,1610612758,Kings,SAC,Sacramento,2017-18
1610612758_Total_2016-17,1610612758,Total,972,452,2,1.0432098765432098,1.1565634783307992,1.02251279515056,0.24310670741344684,2016-17,2017-11-20T01:11:48.121,1610612758_2017-18,1610612758,Kings,SAC,Sacramento,2017-18
1610612759_Total_2015-16,1610612759,Total,935,391,3,0.9133689839572192,1.1061243645450323,0.9623416392560016,0.2652104820652579,2015-16,2017-11-20T01:11:00.469,1610612759_2017-18,1610612759,Spurs,SAS,"San Antonio",2017-18
1610612759_Total_2016-17,1610612759,Total,971,428,2,0.9866117404737385,1.1467169600353444,1.0080963648954633,0.24751077009164213,2016-17,2017-11-20T01:11:48.121,1610612759_2017-18,1610612759,Spurs,SAS,"San Antonio",2017-18
1610612760_Total_2015-16,1610612760,Total,1077,466,2,0.9517177344475395,1.121036015310926,1.0091465768881993,0.22971456848746194,2015-16,2017-11-20T01:11:00.469,1610612760_2017-18,1610612760,Thunder,OKC,"Oklahoma City",2017-18
