primaryKey,teamId,bin,attempts,made,value,pointsAvg,pointsStDev,expectedPointsAvg,expectedPointsStDev,season,dt,primaryKey,teamId,teamName,teamAbbreviation,teamCity,season
1610612737_Total_2013-14,1610612737,Total,6840,3160,3,1.0195906432748538,1.1342214563123294,1.0007776146706888,0.23431338723021436,2013-14,2017-11-19T01:37:07.452,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_Total_2014-15,1610612737,Total,6809,2989,2,0.9834043178146571,1.147201201168792,1.0072667290161283,0.241888556835289,2014-15,2017-11-19T01:36:58.011,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_Total_2015-16,1610612737,Total,7046,3044,2,0.9604030655691173,1.1346947966206709,1.0084651242088258,0.24176206193326194,2015-16,2017-11-19T01:36:33.193,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_Total_2016-17,1610612737,Total,7150,3177,2,1.0134265734265735,1.172213914518943,1.007723004852487,0.2538605184692974,2016-17,2017-11-19T00:45:25.28,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_Total_2017-18,1610612737,Total,1056,480,3,1.043560606060606,1.1838545368873337,1.0199985567542385,0.29287746595162284,2017-18,2017-11-19T00:45:39.084,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612738_Total_2013-14,1610612738,Total,6671,3100,2,1.0101933743067006,1.1145799836848322,1.0009953349023668,0.2340418116037677,2013-14,2017-11-19T01:37:07.452,1610612738_2017-18,1610612738,Celtics,BOS,Boston,2017-18
1610612738_Total_2014-15,1610612738,Total,6940,3124,2,0.9877521613832853,1.1234954033217008,0.9944051708127433,0.23932158431573167,2014-15,2017-11-19T01:36:58.011,1610612738_2017-18,1610612738,Celtics,BOS,Boston,2017-18
1610612738_Total_2015-16,1610612738,Total,6968,3074,2,0.9744546498277842,1.1294927465353264,1.001995339159989,0.23853938802450173,2015-16,2017-11-19T01:36:33.193,1610612738_2017-18,1610612738,Celtics,BOS,Boston,2017-18
1610612738_Total_2016-17,1610612738,Total,7031,3168,3,1.005689091167686,1.1461146473456654,0.9989587515857681,0.24977595754772708,2016-17,2017-11-19T00:45:25.28,1610612738_2017-18,1610612738,Celtics,BOS,Boston,2017-18
1610612738_Total_2017-18,1610612738,Total,1084,462,2,0.9464944649446494,1.1311166962770292,0.9916038558704565,0.3142241690047868,2017-18,2017-11-19T00:45:39.084,1610612738_2017-18,1610612738,Celtics,BOS,Boston,2017-18
1610612739_Total_2013-14,1610612739,Total,6847,3097,2,1.0163575288447495,1.1553855301165956,0.992212567163873,0.2398537734777538,2013-14,2017-11-19T01:37:07.452,1610612739_2017-18,1610612739,Cavaliers,CLE,Cleveland,2017-18
1610612739_Total_2014-15,1610612739,Total,6843,3119,2,1.0042379073505772,1.1304557967672308,0.9922158115989385,0.23771535815224953,2014-15,2017-11-19T01:36:58.011,1610612739_2017-18,1610612739,Cavaliers,CLE,Cleveland,2017-18
1610612739_Total_2015-16,1610612739,Total,6731,3019,2,0.9931659485960481,1.1350420924886613,0.9885381263956228,0.2444088303289371,2015-16,2017-11-19T01:36:33.193,1610612739_2017-18,1610612739,Cavaliers,CLE,Cleveland,2017-18
1610612739_Total_2016-17,1610612739,Total,7278,3331,2,1.0318768892552899,1.1612624348793514,1.0038816128947738,0.25814966460083666,2016-17,2017-11-19T00:45:25.28,1610612739_2017-18,1610612739,Cavaliers,CLE,Cleveland,2017-18
1610612739_Total_2017-18,1610612739,Total,1039,503,3,1.124157844080847,1.205131647932488,0.9883560323865057,0.30491248081700834,2017-18,2017-11-19T00:45:39.084,1610612739_2017-18,1610612739,Cavaliers,CLE,Cleveland,2017-18
1610612740_Total_2013-14,1610612740,Total,6563,3054,2,1.0300167606277617,1.138917657055575,1.0179121099586226,0.23558985147164743,2013-14,2017-11-19T01:37:07.452,1610612740_2017-18,1610612740,Pelicans,NOP,"New Orleans",2017-18
1610612740_Total_2014-15,1610612740,Total,6800,3103,2,0.9916176470588235,1.1121337603296846,1.013626513667701,0.23789588230825195,2014-15,2017-11-19T01:36:58.011,1610612740_2017-18,1610612740,Pelicans,NOP,"New Orleans",2017-18
1610612740_Total_2015-16,1610612740,Total,6877,3218,2,1.0455140322815182,1.1518901719086092,1.0110815180018613,0.23813240728732646,2015-16,2017-11-19T01:36:33.193,1610612740_2017-18,1610612740,Pelicans,NOP,"New Orleans",2017-18
1610612740_Total_2016-17,1610612740,Total,7290,3283,2,1.0189300411522633,1.163775821982089,1.0184274293597266,0.25615024742477627,2016-17,2017-11-19T00:45:25.28,1610612740_2017-18,1610612740,Pelicans,NOP,"New Orleans",2017-18
1610612740_Total_2017-18,1610612740,Total,1066,479,2,1.022514071294559,1.1708865414522343,1.0002622959348386,0.3245956880569038,2017-18,2017-11-19T00:45:39.084,1610612740_2017-18,1610612740,Pelicans,NOP,"New Orleans",2017-18
1610612741_Total_2013-14,1610612741,Total,6647,2863,3,0.942229577252896,1.1131161462026122,0.9739081768420437,0.24065419816616296,2013-14,2017-11-19T01:37:07.452,1610612741_2017-18,1610612741,Bulls,CHI,Chicago,2017-18
1610612741_Total_2014-15,1610612741,Total,7109,3095,2,0.9464059642706428,1.106419373787166,0.9839960447332561,0.23825429723700808,2014-15,2017-11-19T01:36:58.011,1610612741_2017-18,1610612741,Bulls,CHI,Chicago,2017-18
1610612741_Total_2015-16,1610612741,Total,7331,3234,2,0.9710817078161234,1.1249740791543263,1.0015676074916764,0.24410048980418528,2015-16,2017-11-19T01:36:33.193,1610612741_2017-18,1610612741,Bulls,CHI,Chicago,2017-18
1610612741_Total_2016-17,1610612741,Total,7088,3232,2,1.014813769751693,1.1438226320655471,1.017663997991482,0.25301777346774623,2016-17,2017-11-19T00:45:25.28,1610612741_2017-18,1610612741,Bulls,CHI,Chicago,2017-18
1610612741_Total_2017-18,1610612741,Total,849,382,2,1.0294464075382803,1.178060053048394,1.021960803626255,0.31346436088200325,2017-18,2017-11-19T00:45:39.084,1610612741_2017-18,1610612741,Bulls,CHI,Chicago,2017-18
1610612742_Total_2013-14,1610612742,Total,6673,3096,2,1.0295219541435636,1.1419014337125746,1.0138715589927254,0.24051498304148117,2013-14,2017-11-19T01:37:07.452,1610612742_2017-18,1610612742,Mavericks,DAL,Dallas,2017-18
1610612742_Total_2014-15,1610612742,Total,6760,3042,3,1.0071005917159763,1.1494569834253172,1.0034005448901435,0.2398237698832507,2014-15,2017-11-19T01:36:58.011,1610612742_2017-18,1610612742,Mavericks,DAL,Dallas,2017-18
1610612742_Total_2015-16,1610612742,Total,6967,3140,3,1.007463757714942,1.1481109405546277,1.0059508491844058,0.23326228586250441,2015-16,2017-11-19T01:36:33.193,1610612742_2017-18,1610612742,Mavericks,DAL,Dallas,2017-18
1610612742_Total_2016-17,1610612742,Total,6466,3029,2,1.05815032477575,1.1663478811294343,1.0077623191692957,0.2505739046795615,2016-17,2017-11-19T00:45:25.28,1610612742_2017-18,1610612742,Mavericks,DAL,Dallas,2017-18
1610612742_Total_2017-18,1610612742,Total,982,468,2,1.0947046843177188,1.1898212501420875,1.0078546903391805,0.32473561398570444,2017-18,2017-11-19T00:45:39.084,1610612742_2017-18,1610612742,Mavericks,DAL,Dallas,2017-18
1610612743_Total_2013-14,1610612743,Total,7086,3238,2,0.9992943832909963,1.1207757882259226,1.0021507781764876,0.23206570197406867,2013-14,2017-11-19T01:37:07.452,1610612743_2017-18,1610612743,Nuggets,DEN,Denver,2017-18
1610612743_Total_2014-15,1610612743,Total,6824,3128,2,1.007913247362251,1.1284431927958445,1.0038559122203092,0.23821293405460722,2014-15,2017-11-19T01:36:58.011,1610612743_2017-18,1610612743,Nuggets,DEN,Denver,2017-18
1610612743_Total_2015-16,1610612743,Total,6897,3181,3,1.0316079454835436,1.1517528589464119,1.0194864221485465,0.23893069724098456,2015-16,2017-11-19T01:36:33.193,1610612743_2017-18,1610612743,Nuggets,DEN,Denver,2017-18
1610612743_Total_2016-17,1610612743,Total,7241,3451,2,1.0643557519679603,1.152985605786769,1.014120048082503,0.25348192924529506,2016-17,2017-11-19T00:45:25.28,1610612743_2017-18,1610612743,Nuggets,DEN,Denver,2017-18
1610612743_Total_2017-18,1610612743,Total,982,442,2,1.0437881873727088,1.1953393488049298,0.9843159247277079,0.3433670897690116,2017-18,2017-11-19T00:45:39.084,1610612743_2017-18,1610612743,Nuggets,DEN,Denver,2017-18
1610612744_Total_2013-14,1610612744,Total,6913,3018,2,0.9554462606683061,1.1157692618134334,0.9737635553754715,0.23678160376899143,2013-14,2017-11-19T01:37:07.452,1610612744_2017-18,1610612744,Warriors,GSW,"Golden State",2017-18
1610612744_Total_2014-15,1610612744,Total,7084,3031,2,0.9392998306041784,1.1167010814710072,0.9779815341978779,0.2490851438124086,2014-15,2017-11-19T01:36:58.011,1610612744_2017-18,1610612744,Warriors,GSW,"Golden State",2017-18
1610612744_Total_2015-16,1610612744,Total,7324,3185,2,0.9571272528672856,1.122636965877509,0.9903221396343918,0.24066821535716676,2015-16,2017-11-19T01:36:33.193,1610612744_2017-18,1610612744,Warriors,GSW,"Golden State",2017-18
1610612744_Total_2016-17,1610612744,Total,7305,3180,2,0.9715263518138262,1.1409902084927803,0.9991378871734621,0.26955404649622966,2016-17,2017-11-19T00:45:25.28,1610612744_2017-18,1610612744,Warriors,GSW,"Golden State",2017-18
1610612744_Total_2017-18,1610612744,Total,1077,471,2,0.9842154131847726,1.1525804330364535,0.999749456550699,0.29545805211687454,2017-18,2017-11-19T00:45:39.084,1610612744_2017-18,1610612744,Warriors,GSW,"Golden State",2017-18
1610612745_Total_2013-14,1610612745,Total,7204,3194,2,0.9789006107717935,1.129631738258427,0.997782306224804,0.24470842004231133,2013-14,2017-11-19T01:37:07.452,1610612745_2017-18,1610612745,Rockets,HOU,Houston,2017-18
1610612745_Total_2014-15,1610612745,Total,6974,3091,3,0.973186119873817,1.1222893485029157,1.005303699685087,0.24285425299947586,2014-15,2017-11-19T01:36:58.011,1610612745_2017-18,1610612745,Rockets,HOU,Houston,2017-18
1610612745_Total_2015-16,1610612745,Total,6956,3192,2,1.0317711328349626,1.1580144626195363,1.0205621178410245,0.24374653682440772,2015-16,2017-11-19T01:36:33.193,1610612745_2017-18,1610612745,Rockets,HOU,Houston,2017-18
1610612745_Total_2016-17,1610612745,Total,7265,3371,2,1.0406056434962148,1.1559130923668488,1.0171253404416853,0.24991949366360583,2016-17,2017-11-19T00:45:25.28,1610612745_2017-18,1610612745,Rockets,HOU,Houston,2017-18
1610612745_Total_2017-18,1610612745,Total,1010,466,2,1.0554455445544555,1.1810781487984763,0.9955744386119082,0.32248183563244825,2017-18,2017-11-19T00:45:39.084,1610612745_2017-18,1610612745,Rockets,HOU,Houston,2017-18
1610612746_Total_2013-14,1610612746,Total,6952,3065,2,0.966915995397008,1.1199872774160455,1.0006697329663934,0.24018438587725188,2013-14,2017-11-19T01:37:07.452,1610612746_2017-18,1610612746,Clippers,LAC,LA,2017-18
1610612746_Total_2014-15,1610612746,Total,6740,2983,2,0.9864985163204748,1.1418509730506132,0.9987666269734919,0.2501532642250145,2014-15,2017-11-19T01:36:58.011,1610612746_2017-18,1610612746,Clippers,LAC,LA,2017-18
1610612746_Total_2015-16,1610612746,Total,6926,3012,2,0.9624602945423043,1.1298997114196583,0.9937554405629295,0.24526638885911767,2015-16,2017-11-19T01:36:33.193,1610612746_2017-18,1610612746,Clippers,LAC,LA,2017-18
1610612746_Total_2016-17,1610612746,Total,6959,3142,2,1.008621928437994,1.147511016263588,0.9915453186457202,0.26423827853557463,2016-17,2017-11-19T00:45:25.28,1610612746_2017-18,1610612746,Clippers,LAC,LA,2017-18
1610612746_Total_2017-18,1610612746,Total,926,418,2,1.031317494600432,1.1766683356831478,1.0025444665505028,0.3160334141067308,2017-18,2017-11-19T00:45:39.084,1610612746_2017-18,1610612746,Clippers,LAC,LA,2017-18
1610612747_Total_2013-14,1610612747,Total,7345,3436,3,1.0257317903335603,1.1268211455358634,1.011304982950155,0.24133274045518838,2013-14,2017-11-19T01:37:07.452,1610612747_2017-18,1610612747,Lakers,LAL,"Los Angeles",2017-18
1610612747_Total_2014-15,1610612747,Total,6811,3176,2,1.0343561885185728,1.1419549787007206,1.018022889970571,0.23611530482036205,2014-15,2017-11-19T01:36:58.011,1610612747_2017-18,1610612747,Lakers,LAL,"Los Angeles",2017-18
1610612747_Total_2015-16,1610612747,Total,6997,3310,2,1.0450192939831355,1.1378364769496039,1.0213119313936772,0.23604421305613407,2015-16,2017-11-19T01:36:33.193,1610612747_2017-18,1610612747,Lakers,LAL,"Los Angeles",2017-18
1610612747_Total_2016-17,1610612747,Total,7032,3399,2,1.0834755403868033,1.1590029365162708,1.0300585229830195,0.25295877464281363,2016-17,2017-11-19T00:45:25.28,1610612747_2017-18,1610612747,Lakers,LAL,"Los Angeles",2017-18
1610612747_Total_2017-18,1610612747,Total,1057,475,3,1.0028382213812677,1.145511368969704,1.0177612359987283,0.26661186692435973,2017-18,2017-11-19T00:45:39.084,1610612747_2017-18,1610612747,Lakers,LAL,"Los Angeles",2017-18
1610612748_Total_2013-14,1610612748,Total,6463,2956,3,1.0221259477023055,1.1496311855683328,1.0128120685190587,0.23540438703117347,2013-14,2017-11-19T01:37:07.452,1610612748_2017-18,1610612748,Heat,MIA,Miami,2017-18
1610612748_Total_2014-15,1610612748,Total,6523,2960,2,1.0096581327609995,1.142894353087987,1.0116822363269315,0.2348075763139669,2014-15,2017-11-19T01:36:58.011,1610612748_2017-18,1610612748,Heat,MIA,Miami,2017-18
