primaryKey,teamId,bin,attempts,made,value,pointsAvg,pointsStDev,expectedPointsAvg,expectedPointsStDev,season,dt,primaryKey,teamId,teamName,teamAbbreviation,teamCity,season
1610612737_Total_2017-18,1610612737,Total,2455,1117,2,1.039918533604888,1.178228845040663,1.0013378522841467,0.32588372171741603,2017-18,2017-12-18T08:16:20.04,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612738_Total_2017-18,1610612738,Total,2667,1203,3,1.0382452193475815,1.1861118255468677,0.9999202427154377,0.29933461003901557,2017-18,2017-12-18T08:16:20.04,1610612738_2017-18,1610612738,Celtics,BOS,Boston,2017-18
1610612739_Total_2017-18,1610612739,Total,2579,1248,2,1.1167119038386972,1.1971061327375596,1.0665329544032858,0.25423915501151384,2017-18,2017-12-18T08:16:20.04,1610612739_2017-18,1610612739,Cavaliers,CLE,Cleveland,2017-18
1610612740_Total_2017-18,1610612740,Total,2545,1247,2,1.1135559921414537,1.1780878113560445,1.0529989844004601,0.23196878055090075,2017-18,2017-12-18T08:16:20.04,1610612740_2017-18,1610612740,Pelicans,NOP,"New Orleans",2017-18
1610612741_Total_2017-18,1610612741,Total,2454,1048,2,0.9714751426242869,1.1624390616804272,0.9477883693708817,0.285978689336586,2017-18,2017-12-18T08:16:20.04,1610612741_2017-18,1610612741,Bulls,CHI,Chicago,2017-18
1610612742_Total_2017-18,1610612742,Total,2528,1109,3,1.0130537974683544,1.1861158196450183,1.004510213481317,0.28676967156747046,2017-18,2017-12-18T08:16:20.04,1610612742_2017-18,1610612742,Mavericks,DAL,Dallas,2017-18
1610612743_Total_2017-18,1610612743,Total,2521,1165,2,1.053550178500595,1.1768915292074091,0.9971638766888934,0.24347033186738204,2017-18,2017-12-18T08:16:20.04,1610612743_2017-18,1610612743,Nuggets,DEN,Denver,2017-18
1610612744_Total_2017-18,1610612744,Total,2480,1279,2,1.175,1.1832244762893795,1.0902583759956812,0.2525452218830753,2017-18,2017-12-18T08:16:20.04,1610612744_2017-18,1610612744,Warriors,GSW,"Golden State",2017-18
1610612745_Total_2017-18,1610612745,Total,2350,1104,2,1.128936170212766,1.2455764008658103,1.0709796716605806,0.2307270223676573,2017-18,2017-12-18T08:16:20.04,1610612745_2017-18,1610612745,Rockets,HOU,Houston,2017-18
1610612746_Total_2017-18,1610612746,Total,2367,1058,3,1.0168990283058723,1.1698443125553055,1.034679246743179,0.33510704354437915,2017-18,2017-12-18T08:16:20.04,1610612746_2017-18,1610612746,Clippers,LAC,LA,2017-18
1610612747_Total_2017-18,1610612747,Total,2414,1101,2,1.008285004142502,1.1350107941625114,0.9846679690310993,0.27593422119711797,2017-18,2017-12-18T08:16:20.04,1610612747_2017-18,1610612747,Lakers,LAL,"Los Angeles",2017-18
1610612748_Total_2017-18,1610612748,Total,2370,1073,2,1.051054852320675,1.1975400881866123,1.0319816448754395,0.26200670449979846,2017-18,2017-12-18T08:16:20.04,1610612748_2017-18,1610612748,Heat,MIA,Miami,2017-18
1610612749_Total_2017-18,1610612749,Total,2280,1094,3,1.0666666666666667,1.1474354827764894,1.011309441791107,0.27404180852546606,2017-18,2017-12-18T08:16:20.04,1610612749_2017-18,1610612749,Bucks,MIL,Milwaukee,2017-18
1610612750_Total_2017-18,1610612750,Total,2555,1200,2,1.0352250489236792,1.1342091644864338,0.9946906124715703,0.2386234883804992,2017-18,2017-12-18T08:16:20.04,1610612750_2017-18,1610612750,Timberwolves,MIN,Minnesota,2017-18
1610612751_Total_2017-18,1610612751,Total,2519,1110,3,1.0142913854704247,1.1826933671429696,1.0057441586990896,0.2674453482973129,2017-18,2017-12-18T08:16:20.04,1610612751_2017-18,1610612751,Nets,BKN,Brooklyn,2017-18
1610612752_Total_2017-18,1610612752,Total,2464,1166,2,1.0438311688311688,1.1359078399442037,1.0030483744391905,0.25471636763306554,2017-18,2017-12-18T08:16:20.04,1610612752_2017-18,1610612752,Knicks,NYK,"New York",2017-18
1610612753_Total_2017-18,1610612753,Total,2681,1236,2,1.0511003356956359,1.1766723088843316,0.9830740684110414,0.25060150248164426,2017-18,2017-12-18T08:16:20.04,1610612753_2017-18,1610612753,Magic,ORL,Orlando,2017-18
1610612754_Total_2017-18,1610612754,Total,2601,1245,3,1.0742022299115725,1.1597967065273798,0.999108600114786,0.2583549315461375,2017-18,2017-12-18T08:16:20.04,1610612754_2017-18,1610612754,Pacers,IND,Indiana,2017-18
1610612755_Total_2017-18,1610612755,Total,2462,1126,2,1.0357432981316004,1.1669797906340404,1.0125749903697345,0.287219354995558,2017-18,2017-12-18T08:16:20.04,1610612755_2017-18,1610612755,76ers,PHI,Philadelphia,2017-18
1610612756_Total_2017-18,1610612756,Total,2725,1213,2,0.986788990825688,1.13550286377458,0.9835087538007387,0.28928910481006587,2017-18,2017-12-18T08:16:20.04,1610612756_2017-18,1610612756,Suns,PHX,Phoenix,2017-18
1610612757_Total_2017-18,1610612757,Total,2465,1092,2,0.9959432048681541,1.1531699730015177,0.9761128413604458,0.2355094401389939,2017-18,2017-12-18T08:16:20.04,1610612757_2017-18,1610612757,"Trail Blazers",POR,Portland,2017-18
