primaryKey,teamId,bin,attempts,made,value,pointsAvg,pointsStDev,expectedPointsAvg,expectedPointsStDev,season,dt,primaryKey,teamId,teamName,teamAbbreviation,teamCity,season
1610612737_Total_2015-16,1610612737,Total,1160,540,2,1.0413793103448277,1.1529623738153751,1.0323472317653577,0.2368696195688504,2015-16,2017-11-20T01:11:00.469,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_Total_2016-17,1610612737,Total,999,479,2,1.067067067067067,1.1488369478909295,1.022340809444802,0.25034006835668016,2016-17,2017-11-20T01:11:48.121,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612738_Total_2015-16,1610612738,Total,981,418,2,0.9469928644240571,1.1320750475577173,1.0117685674623162,0.24498213440973282,2015-16,2017-11-20T01:11:00.469,1610612738_2017-18,1610612738,Celtics,BOS,Boston,2017-18
1610612738_Total_2016-17,1610612738,Total,1024,460,3,1.021484375,1.1699055716727138,1.0054882545450397,0.26121145352971675,2016-17,2017-11-20T01:11:48.121,1610612738_2017-18,1610612738,Celtics,BOS,Boston,2017-18
1610612739_Total_2015-16,1610612739,Total,991,461,2,1.0454086781029264,1.1588977545647388,1.0394653107405984,0.2501340709942487,2015-16,2017-11-20T01:11:00.469,1610612739_2017-18,1610612739,Cavaliers,CLE,Cleveland,2017-18
1610612739_Total_2016-17,1610612739,Total,1046,465,3,1.0353728489483747,1.1989842755874789,1.040747712524352,0.22988303563961798,2016-17,2017-11-20T01:11:48.121,1610612739_2017-18,1610612739,Cavaliers,CLE,Cleveland,2017-18
1610612740_Total_2015-16,1610612740,Total,1040,459,2,0.9903846153846154,1.150210618737112,0.9975463509583676,0.22056117247085746,2015-16,2017-11-20T01:11:00.469,1610612740_2017-18,1610612740,Pelicans,NOP,"New Orleans",2017-18
1610612740_Total_2016-17,1610612740,Total,1039,446,2,0.9374398460057748,1.1103388439583128,0.9773770390809282,0.25605538131584343,2016-17,2017-11-20T01:11:48.121,1610612740_2017-18,1610612740,Pelicans,NOP,"New Orleans",2017-18
1610612741_Total_2015-16,1610612741,Total,958,417,2,0.9707724425887265,1.140075460085611,0.9719611517737758,0.22033198952140906,2015-16,2017-11-20T01:11:00.469,1610612741_2017-18,1610612741,Bulls,CHI,Chicago,2017-18
1610612741_Total_2016-17,1610612741,Total,1064,465,3,0.9558270676691729,1.115055829960536,0.9759368435581293,0.2436535583926715,2016-17,2017-11-20T01:11:48.121,1610612741_2017-18,1610612741,Bulls,CHI,Chicago,2017-18
1610612742_Total_2015-16,1610612742,Total,1004,441,2,0.9721115537848606,1.1314144813425437,0.9904633779021838,0.23300036660905832,2015-16,2017-11-20T01:11:00.469,1610612742_2017-18,1610612742,Mavericks,DAL,Dallas,2017-18
1610612742_Total_2016-17,1610612742,Total,853,355,3,0.94021101992966,1.1489078161486774,0.9945088081901391,0.28050072640777546,2016-17,2017-11-20T01:11:48.121,1610612742_2017-18,1610612742,Mavericks,DAL,Dallas,2017-18
1610612743_Total_2015-16,1610612743,Total,1033,447,2,0.9593417231364957,1.1313932472548651,0.9894211329470082,0.2506942066210427,2015-16,2017-11-20T01:11:00.469,1610612743_2017-18,1610612743,Nuggets,DEN,Denver,2017-18
1610612743_Total_2016-17,1610612743,Total,955,412,2,0.9654450261780104,1.1430920159486366,0.9939297436610323,0.25672575933184616,2016-17,2017-11-20T01:11:48.121,1610612743_2017-18,1610612743,Nuggets,DEN,Denver,2017-18
1610612744_Total_2015-16,1610612744,Total,1132,547,2,1.1095406360424027,1.190516472361284,1.0737086194818328,0.25820219771958985,2015-16,2017-11-20T01:11:00.469,1610612744_2017-18,1610612744,Warriors,GSW,"Golden State",2017-18
1610612744_Total_2016-17,1610612744,Total,1035,520,2,1.1371980676328501,1.1740009112062872,1.0971321465186679,0.25012765400790066,2016-17,2017-11-20T01:11:48.121,1610612744_2017-18,1610612744,Warriors,GSW,"Golden State",2017-18
1610612745_Total_2015-16,1610612745,Total,1026,428,3,0.9473684210526315,1.1560325269849543,1.065566324969799,0.24532093217718218,2015-16,2017-11-20T01:11:00.469,1610612745_2017-18,1610612745,Rockets,HOU,Houston,2017-18
1610612745_Total_2016-17,1610612745,Total,1024,475,2,1.087890625,1.2135666393062678,1.0574036157541111,0.24084601151766677,2016-17,2017-11-20T01:11:48.121,1610612745_2017-18,1610612745,Rockets,HOU,Houston,2017-18
1610612746_Total_2015-16,1610612746,Total,908,426,3,1.0297356828193833,1.1284258345399274,1.0163775221871425,0.24982476002889273,2015-16,2017-11-20T01:11:00.469,1610612746_2017-18,1610612746,Clippers,LAC,LA,2017-18
