primaryKey,teamId,bin,attempts,made,value,pointsAvg,pointsStDev,expectedPointsAvg,expectedPointsStDev,season,dt,primaryKey,teamId,teamName,teamAbbreviation,teamCity,season
1610612737_Total_2013-14,1610612737,Total,6669,3055,2,1.0308891887839255,1.1589544480574787,1.0230636118856178,0.22583533165745767,2013-14,2017-11-19T01:37:07.452,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_Total_2014-15,1610612737,Total,6699,3121,2,1.0538886400955367,1.1676554912769346,1.033916149855269,0.22807662644202537,2014-15,2017-11-19T01:36:58.011,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_Total_2015-16,1610612737,Total,6920,3166,2,1.0328034682080924,1.1628618283766503,1.0412657307497324,0.23047641325129678,2015-16,2017-11-19T01:36:33.193,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_Total_2016-17,1610612737,Total,6913,3122,2,1.0085346448719803,1.1471066537589727,1.0120697988606464,0.25840799226489725,2016-17,2017-11-19T00:45:25.28,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612737_Total_2017-18,1610612737,Total,1026,458,2,1.0077972709551657,1.1597277449176293,0.9599478316061503,0.3382560549076419,2017-18,2017-11-19T00:45:39.084,1610612737_2017-18,1610612737,Hawks,ATL,Atlanta,2017-18
1610612738_Total_2013-14,1610612738,Total,6881,2996,2,0.9543670978055515,1.1174112693537155,0.9497961185535763,0.24481915411869049,2013-14,2017-11-19T01:37:07.452,1610612738_2017-18,1610612738,Celtics,BOS,Boston,2017-18
1610612738_Total_2014-15,1610612738,Total,7209,3193,2,0.9773893743931197,1.1287805095592502,0.9698901247507834,0.23496441523420195,2014-15,2017-11-19T01:36:58.011,1610612738_2017-18,1610612738,Celtics,BOS,Boston,2017-18
1610612738_Total_2015-16,1610612738,Total,7312,3214,2,0.9768873085339168,1.1370220733028888,1.0019864673267345,0.23885921370843471,2015-16,2017-11-19T01:36:33.193,1610612738_2017-18,1610612738,Celtics,BOS,Boston,2017-18
1610612738_Total_2016-17,1610612738,Total,6975,3166,3,1.0487455197132616,1.1918135647963217,1.0167357777034656,0.24751665397078895,2016-17,2017-11-19T00:45:25.28,1610612738_2017-18,1610612738,Celtics,BOS,Boston,2017-18
1610612738_Total_2017-18,1610612738,Total,1093,473,3,0.9954254345837146,1.1788689693171046,0.9930725077737859,0.3667201564942242,2017-18,2017-11-19T00:45:39.084,1610612738_2017-18,1610612738,Celtics,BOS,Boston,2017-18
1610612739_Total_2013-14,1610612739,Total,6951,3035,2,0.9572723349158394,1.1181343440639753,0.962110251398778,0.23230350338980205,2013-14,2017-11-19T01:37:07.452,1610612739_2017-18,1610612739,Cavaliers,CLE,Cleveland,2017-18
1610612739_Total_2014-15,1610612739,Total,6715,3082,2,1.040506329113924,1.168778647224185,1.0394944229702514,0.23260834202258054,2014-15,2017-11-19T01:36:58.011,1610612739_2017-18,1610612739,Cavaliers,CLE,Cleveland,2017-18
1610612739_Total_2015-16,1610612739,Total,6883,3169,2,1.0483800668313235,1.1748792870778504,1.0462818407188177,0.2428087622011595,2015-16,2017-11-19T01:36:33.193,1610612739_2017-18,1610612739,Cavaliers,CLE,Cleveland,2017-18
1610612739_Total_2016-17,1610612739,Total,6956,3273,3,1.0941633122484187,1.2043458678069903,1.0586285168508711,0.24105577909496342,2016-17,2017-11-19T00:45:25.28,1610612739_2017-18,1610612739,Cavaliers,CLE,Cleveland,2017-18
1610612739_Total_2017-18,1610612739,Total,997,479,2,1.0832497492477433,1.166263599347036,1.0359849703123416,0.26537789836896064,2017-18,2017-11-19T00:45:39.084,1610612739_2017-18,1610612739,Cavaliers,CLE,Cleveland,2017-18
1610612740_Total_2013-14,1610612740,Total,6761,3101,2,0.9892027806537494,1.102511674655024,1.0029642205679064,0.23183087524676813,2013-14,2017-11-19T01:37:07.452,1610612740_2017-18,1610612740,Pelicans,NOP,"New Orleans",2017-18
1610612740_Total_2014-15,1610612740,Total,6793,3107,3,1.0008832621816577,1.1217635258746048,1.0034707631815725,0.23085834277073553,2014-15,2017-11-19T01:36:58.011,1610612740_2017-18,1610612740,Pelicans,NOP,"New Orleans",2017-18
1610612740_Total_2015-16,1610612740,Total,6966,3124,2,0.9958369221935114,1.138731587469539,0.9882368415484779,0.22508335430372717,2015-16,2017-11-19T01:36:33.193,1610612740_2017-18,1610612740,Pelicans,NOP,"New Orleans",2017-18
1610612740_Total_2016-17,1610612740,Total,7125,3208,2,1.008,1.149983615443959,0.9969093925646674,0.2502424041861271,2016-17,2017-11-19T00:45:25.28,1610612740_2017-18,1610612740,Pelicans,NOP,"New Orleans",2017-18
1610612740_Total_2017-18,1610612740,Total,1013,469,2,1.0463968410661402,1.1658260562177651,1.0330817330160778,0.24808552319751148,2017-18,2017-11-19T00:45:39.084,1610612740_2017-18,1610612740,Pelicans,NOP,"New Orleans",2017-18
1610612741_Total_2013-14,1610612741,Total,6577,2843,3,0.9417667629618367,1.1082984608011797,0.9772107664339077,0.23413369435985776,2013-14,2017-11-19T01:37:07.452,1610612741_2017-18,1610612741,Bulls,CHI,Chicago,2017-18
1610612741_Total_2014-15,1610612741,Total,6797,3001,2,0.9780785640723849,1.1334219167798845,1.0042701417373934,0.21338629655006425,2014-15,2017-11-19T01:36:58.011,1610612741_2017-18,1610612741,Bulls,CHI,Chicago,2017-18
1610612741_Total_2015-16,1610612741,Total,7170,3165,2,0.9736401673640167,1.1276923766975526,0.9920252852730905,0.2282185950891918,2015-16,2017-11-19T01:36:33.193,1610612741_2017-18,1610612741,Bulls,CHI,Chicago,2017-18
1610612741_Total_2016-17,1610612741,Total,7138,3169,3,0.9752031381339311,1.1230419250925505,0.9686583243078559,0.2570162262822864,2016-17,2017-11-19T00:45:25.28,1610612741_2017-18,1610612741,Bulls,CHI,Chicago,2017-18
1610612741_Total_2017-18,1610612741,Total,869,351,2,0.9252013808975834,1.1604025380680778,0.9542847656560246,0.35523769825523,2017-18,2017-11-19T00:45:39.084,1610612741_2017-18,1610612741,Bulls,CHI,Chicago,2017-18
1610612742_Total_2013-14,1610612742,Total,6857,3248,3,1.0523552574011958,1.145541570463184,1.0321389845326703,0.2248420539608747,2013-14,2017-11-19T01:37:07.452,1610612742_2017-18,1610612742,Mavericks,DAL,Dallas,2017-18
1610612742_Total_2014-15,1610612742,Total,6863,3177,2,1.0307445723444557,1.1462050158674029,1.0190338586737817,0.22005903611973737,2014-15,2017-11-19T01:36:58.011,1610612742_2017-18,1610612742,Mavericks,DAL,Dallas,2017-18
1610612742_Total_2015-16,1610612742,Total,6898,3062,2,1.0043490866917948,1.1617433690214527,1.0052323629983095,0.2199042572313892,2015-16,2017-11-19T01:36:33.193,1610612742_2017-18,1610612742,Mavericks,DAL,Dallas,2017-18
1610612742_Total_2016-17,1610612742,Total,6612,2919,3,1.0128554143980641,1.178804756877095,1.0041475238356157,0.29684428691020376,2016-17,2017-11-19T00:45:25.28,1610612742_2017-18,1610612742,Mavericks,DAL,Dallas,2017-18
1610612742_Total_2017-18,1610612742,Total,1014,430,3,0.9901380670611439,1.19412656164969,0.9945383121561531,0.3319196060707546,2017-18,2017-11-19T00:45:39.084,1610612742_2017-18,1610612742,Mavericks,DAL,Dallas,2017-18
1610612743_Total_2013-14,1610612743,Total,7042,3147,2,0.9934677648395343,1.1397456278325404,0.9942508696423857,0.2514705068102775,2013-14,2017-11-19T01:37:07.452,1610612743_2017-18,1610612743,Nuggets,DEN,Denver,2017-18
1610612743_Total_2014-15,1610612743,Total,7075,3065,2,0.9585865724381626,1.1290488736600695,1.0063102803289763,0.23124805446004695,2014-15,2017-11-19T01:36:58.011,1610612743_2017-18,1610612743,Nuggets,DEN,Denver,2017-18
1610612743_Total_2015-16,1610612743,Total,7002,3092,2,0.9767209368751785,1.131411591668402,0.995759112544556,0.2397508467409943,2015-16,2017-11-19T01:36:33.193,1610612743_2017-18,1610612743,Nuggets,DEN,Denver,2017-18
1610612743_Total_2016-17,1610612743,Total,7190,3377,2,1.0603616133518776,1.165916226877075,1.0249974918672842,0.24224014871411492,2016-17,2017-11-19T00:45:25.28,1610612743_2017-18,1610612743,Nuggets,DEN,Denver,2017-18
1610612743_Total_2017-18,1610612743,Total,1041,478,2,1.0345821325648414,1.16082179775196,0.9820384560445011,0.25605399544108126,2017-18,2017-11-19T00:45:39.084,1610612743_2017-18,1610612743,Nuggets,DEN,Denver,2017-18
1610612744_Total_2013-14,1610612744,Total,7005,3236,2,1.0344039971448964,1.1533836660194297,1.046425740217413,0.24745700009721644,2013-14,2017-11-19T01:37:07.452,1610612744_2017-18,1610612744,Warriors,GSW,"Golden State",2017-18
1610612744_Total_2014-15,1610612744,Total,7137,3410,3,1.0793050301247022,1.1682786769293114,1.0553112863359588,0.24253605610918055,2014-15,2017-11-19T01:36:58.011,1610612744_2017-18,1610612744,Warriors,GSW,"Golden State",2017-18
1610612744_Total_2015-16,1610612744,Total,7157,3487,2,1.1246332262121,1.197945890049641,1.0919926404443105,0.24113101387857447,2015-16,2017-11-19T01:36:33.193,1610612744_2017-18,1610612744,Warriors,GSW,"Golden State",2017-18
1610612744_Total_2016-17,1610612744,Total,7139,3531,2,1.1266283793248355,1.1816124003070905,1.0973789666055227,0.2591930322262145,2016-17,2017-11-19T00:45:25.28,1610612744_2017-18,1610612744,Warriors,GSW,"Golden State",2017-18
1610612744_Total_2017-18,1610612744,Total,1025,529,2,1.193170731707317,1.202336016960299,1.1017112388201253,0.24838205418804155,2017-18,2017-11-19T00:45:39.084,1610612744_2017-18,1610612744,Warriors,GSW,"Golden State",2017-18
1610612745_Total_2013-14,1610612745,Total,6599,3114,3,1.061221397181391,1.1612829330287182,1.054134660445373,0.2413643192045612,2013-14,2017-11-19T01:37:07.452,1610612745_2017-18,1610612745,Rockets,HOU,Houston,2017-18
1610612745_Total_2014-15,1610612745,Total,6831,3032,2,1.02430098082272,1.1870800869993925,1.0323585332429537,0.2412378850111533,2014-15,2017-11-19T01:36:58.011,1610612745_2017-18,1610612745,Rockets,HOU,Houston,2017-18
1610612745_Total_2015-16,1610612745,Total,6841,3093,3,1.0324513959947377,1.1762396875949164,1.0504463800721384,0.2451071375306139,2015-16,2017-11-19T01:36:33.193,1610612745_2017-18,1610612745,Rockets,HOU,Houston,2017-18
1610612745_Total_2016-17,1610612745,Total,7145,3302,2,1.089153254023793,1.2192880356224818,1.07672706731741,0.23886801242622524,2016-17,2017-11-19T00:45:25.28,1610612745_2017-18,1610612745,Rockets,HOU,Houston,2017-18
1610612745_Total_2017-18,1610612745,Total,993,455,2,1.0996978851963746,1.2409308096286242,1.0589754402450078,0.2523717371200538,2017-18,2017-11-19T00:45:39.084,1610612745_2017-18,1610612745,Rockets,HOU,Houston,2017-18
1610612746_Total_2013-14,1610612746,Total,6754,3206,3,1.051673082617708,1.1420416453253446,1.0557083072400193,0.24299233535077389,2013-14,2017-11-19T01:37:07.452,1610612746_2017-18,1610612746,Clippers,LAC,LA,2017-18
