primaryKey,gridType,gameId,gameEventId,playerId,playerName,teamId,teamName,period,minutesRemaining,secondsRemaining,eventType,actionType,shotZoneBasic,shotZoneArea,shotZoneRange,shotType,shotDistance,xCoordinate,yCoordinate,shotAttemptedFlag,shotMadeFlag,gameDate,homeTeam,awayTeam,season,dt
0021600006_135_1626179,"Shot Chart Detail",0021600006,135,1626179,"Terry Rozier",1610612738,"Boston Celtics",2,10,40,"Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.",24,-241,61,1,1,20161026,BOS,BKN,2016-17,2017-09-27T12:17:56.855
0021600006_411_1626179,"Shot Chart Detail",0021600006,411,1626179,"Terry Rozier",1610612738,"Boston Celtics",4,10,12,"Made Shot","Jump Shot","2PT Field Goal",Mid-Range,Center(C),"16-24 ft.",21,-2,213,1,1,20161026,BOS,BKN,2016-17,2017-09-27T12:17:56.855
0021600006_476_1626179,"Shot Chart Detail",0021600006,476,1626179,"Terry Rozier",1610612738,"Boston Celtics",4,3,57,"Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)",Center(C),"Less Than 8 ft.",6,-55,26,1,0,20161026,BOS,BKN,2016-17,2017-09-27T12:17:56.855
0021600006_498_1626179,"Shot Chart Detail",0021600006,498,1626179,"Terry Rozier",1610612738,"Boston Celtics",4,2,26,"Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)",Center(C),"Less Than 8 ft.",4,-42,16,1,0,20161026,BOS,BKN,2016-17,2017-09-27T12:17:56.855
0021600006_96_1626179,"Shot Chart Detail",0021600006,96,1626179,"Terry Rozier",1610612738,"Boston Celtics",1,1,11,"Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3",Center(C),"24+ ft.",24,4,247,1,0,20161026,BOS,BKN,2016-17,2017-09-27T12:17:56.855
0021600015_122_1626179,"Shot Chart Detail",0021600015,122,1626179,"Terry Rozier",1610612738,"Boston Celtics",1,0,34,"Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",24,-129,213,1,0,20161027,CHI,BOS,2016-17,2017-09-27T12:17:56.855
0021600015_131_1626179,"Shot Chart Detail",0021600015,131,1626179,"Terry Rozier",1610612738,"Boston Celtics",1,0,3,"Missed Shot","Pullup Jump shot","2PT Field Goal",Mid-Range,"Left Side Center(LC)","16-24 ft.",19,-124,154,1,0,20161027,CHI,BOS,2016-17,2017-09-27T12:17:56.855
0021600015_157_1626179,"Shot Chart Detail",0021600015,157,1626179,"Terry Rozier",1610612738,"Boston Celtics",2,9,48,"Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",26,-109,237,1,1,20161027,CHI,BOS,2016-17,2017-09-27T12:17:56.855
0021600015_170_1626179,"Shot Chart Detail",0021600015,170,1626179,"Terry Rozier",1610612738,"Boston Celtics",2,8,34,"Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",26,171,198,1,0,20161027,CHI,BOS,2016-17,2017-09-27T12:17:56.855
0021600015_205_1626179,"Shot Chart Detail",0021600015,205,1626179,"Terry Rozier",1610612738,"Boston Celtics",2,4,56,"Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.",23,235,-15,1,0,20161027,CHI,BOS,2016-17,2017-09-27T12:17:56.855
0021600015_385_1626179,"Shot Chart Detail",0021600015,385,1626179,"Terry Rozier",1610612738,"Boston Celtics",3,2,7,"Made Shot","Jump Shot","2PT Field Goal",Mid-Range,"Left Side(L)","8-16 ft.",8,-86,8,1,1,20161027,CHI,BOS,2016-17,2017-09-27T12:17:56.855
0021600015_437_1626179,"Shot Chart Detail",0021600015,437,1626179,"Terry Rozier",1610612738,"Boston Celtics",4,10,53,"Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",26,-138,223,1,1,20161027,CHI,BOS,2016-17,2017-09-27T12:17:56.855
0021600027_105_1626179,"Shot Chart Detail",0021600027,105,1626179,"Terry Rozier",1610612738,"Boston Celtics",1,0,9,"Missed Shot","Layup Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",0,-6,2,1,0,20161029,CHA,BOS,2016-17,2017-09-27T12:17:56.855
0021600027_129_1626179,"Shot Chart Detail",0021600027,129,1626179,"Terry Rozier",1610612738,"Boston Celtics",2,10,44,"Missed Shot","Pullup Jump shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",25,-124,219,1,0,20161029,CHA,BOS,2016-17,2017-09-27T12:17:56.855
0021600027_161_1626179,"Shot Chart Detail",0021600027,161,1626179,"Terry Rozier",1610612738,"Boston Celtics",2,7,55,"Made Shot","Jump Shot","2PT Field Goal",Mid-Range,"Left Side(L)","16-24 ft.",18,-184,7,1,1,20161029,CHA,BOS,2016-17,2017-09-27T12:17:56.855
0021600027_469_1626179,"Shot Chart Detail",0021600027,469,1626179,"Terry Rozier",1610612738,"Boston Celtics",4,4,55,"Made Shot","Layup Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",0,9,2,1,1,20161029,CHA,BOS,2016-17,2017-09-27T12:17:56.855
0021600061_137_1626179,"Shot Chart Detail",0021600061,137,1626179,"Terry Rozier",1610612738,"Boston Celtics",2,11,35,"Missed Shot","Driving Floating Jump Shot","2PT Field Goal","In The Paint (Non-RA)",Center(C),"Less Than 8 ft.",4,30,28,1,0,20161102,BOS,CHI,2016-17,2017-09-27T12:17:56.855
0021600061_164_1626179,"Shot Chart Detail",0021600061,164,1626179,"Terry Rozier",1610612738,"Boston Celtics",2,8,49,"Made Shot","Jump Shot","2PT Field Goal",Mid-Range,"Right Side Center(RC)","16-24 ft.",20,151,144,1,1,20161102,BOS,CHI,2016-17,2017-09-27T12:17:56.855
0021600061_170_1626179,"Shot Chart Detail",0021600061,170,1626179,"Terry Rozier",1610612738,"Boston Celtics",2,7,58,"Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.",24,-241,57,1,0,20161102,BOS,CHI,2016-17,2017-09-27T12:17:56.855
0021600061_373_1626179,"Shot Chart Detail",0021600061,373,1626179,"Terry Rozier",1610612738,"Boston Celtics",3,1,43,"Missed Shot","Jump Shot","2PT Field Goal",Mid-Range,"Right Side(R)","8-16 ft.",14,123,85,1,0,20161102,BOS,CHI,2016-17,2017-09-27T12:17:56.855
0021600061_424_1626179,"Shot Chart Detail",0021600061,424,1626179,"Terry Rozier",1610612738,"Boston Celtics",4,9,31,"Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",25,205,144,1,1,20161102,BOS,CHI,2016-17,2017-09-27T12:17:56.855
0021600061_426_1626179,"Shot Chart Detail",0021600061,426,1626179,"Terry Rozier",1610612738,"Boston Celtics",4,8,56,"Made Shot","Driving Finger Roll Layup Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",1,14,11,1,1,20161102,BOS,CHI,2016-17,2017-09-27T12:17:56.855
0021600068_115_1626179,"Shot Chart Detail",0021600068,115,1626179,"Terry Rozier",1610612738,"Boston Celtics",1,1,29,"Missed Shot","Jump Shot","2PT Field Goal",Mid-Range,"Right Side Center(RC)","16-24 ft.",19,155,116,1,0,20161103,CLE,BOS,2016-17,2017-09-27T12:17:56.855
0021600068_124_1626179,"Shot Chart Detail",0021600068,124,1626179,"Terry Rozier",1610612738,"Boston Celtics",1,0,0,"Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Back Court(BC)","Back Court Shot",40,-1,401,1,0,20161103,CLE,BOS,2016-17,2017-09-27T12:17:56.855
0021600068_156_1626179,"Shot Chart Detail",0021600068,156,1626179,"Terry Rozier",1610612738,"Boston Celtics",2,9,24,"Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",0,9,2,1,1,20161103,CLE,BOS,2016-17,2017-09-27T12:17:56.855
0021600068_456_1626179,"Shot Chart Detail",0021600068,456,1626179,"Terry Rozier",1610612738,"Boston Celtics",4,8,37,"Made Shot","Jump Shot","3PT Field Goal","Above the Break 3",Center(C),"24+ ft.",24,-9,242,1,1,20161103,CLE,BOS,2016-17,2017-09-27T12:17:56.855
0021600068_490_1626179,"Shot Chart Detail",0021600068,490,1626179,"Terry Rozier",1610612738,"Boston Celtics",4,6,51,"Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",0,-7,-6,1,1,20161103,CLE,BOS,2016-17,2017-09-27T12:17:56.855
0021600091_111_1626179,"Shot Chart Detail",0021600091,111,1626179,"Terry Rozier",1610612738,"Boston Celtics",1,2,0,"Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.",22,225,26,1,0,20161106,BOS,DEN,2016-17,2017-09-27T12:17:56.855
0021600091_481_1626179,"Shot Chart Detail",0021600091,481,1626179,"Terry Rozier",1610612738,"Boston Celtics",4,5,46,"Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",2,10,21,1,0,20161106,BOS,DEN,2016-17,2017-09-27T12:17:56.855
0021600091_528_1626179,"Shot Chart Detail",0021600091,528,1626179,"Terry Rozier",1610612738,"Boston Celtics",4,1,55,"Missed Shot","Jump Shot","2PT Field Goal",Mid-Range,"Right Side Center(RC)","16-24 ft.",19,158,120,1,0,20161106,BOS,DEN,2016-17,2017-09-27T12:17:56.855
