primaryKey,gridType,gameId,eventNumber,playerId,playerName,teamId,teamName,period,minutesRemaining,secondsRemaining,eventType,actionType,shotZoneBasic,shotZoneArea,shotZoneRange,shotType,shotDistance,xCoordinate,yCoordinate,shotAttemptedFlag,shotMadeFlag,gameDate,homeTeam,awayTeam,season,dt
0021700001_104_202684,"Shot Chart Detail",0021700001,104,202684,"Tristan Thompson",1610612739,"Cleveland Cavaliers",1,4,5,"Made Shot","Alley Oop Layup shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",0,-2,1,1,1,20171017,CLE,BOS,2017-18,2017-11-12T00:22:57.704
0021700001_106_1627759,"Shot Chart Detail",0021700001,106,1627759,"Jaylen Brown",1610612738,"Boston Celtics",1,3,52,"Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",26,-164,202,1,0,20171017,CLE,BOS,2017-18,2017-11-12T00:22:57.704
0021700001_108_202697,"Shot Chart Detail",0021700001,108,202697,"Iman Shumpert",1610612739,"Cleveland Cavaliers",1,3,39,"Missed Shot","Jump Shot","2PT Field Goal",Mid-Range,"Left Side(L)","16-24 ft.",21,-192,92,1,0,20171017,CLE,BOS,2017-18,2017-11-12T00:22:57.704
0021700001_110_203935,"Shot Chart Detail",0021700001,110,203935,"Marcus Smart",1610612738,"Boston Celtics",1,3,28,"Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",2,-16,17,1,0,20171017,CLE,BOS,2017-18,2017-11-12T00:22:57.704
0021700001_112_2747,"Shot Chart Detail",0021700001,112,2747,"JR Smith",1610612739,"Cleveland Cavaliers",1,3,21,"Made Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.",23,232,27,1,1,20171017,CLE,BOS,2017-18,2017-11-12T00:22:57.704
0021700001_114_203935,"Shot Chart Detail",0021700001,114,203935,"Marcus Smart",1610612738,"Boston Celtics",1,2,58,"Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",25,135,221,1,0,20171017,CLE,BOS,2017-18,2017-11-12T00:22:57.704
0021700001_118_202684,"Shot Chart Detail",0021700001,118,202684,"Tristan Thompson",1610612739,"Cleveland Cavaliers",1,2,38,"Made Shot","Running Layup Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",1,-10,0,1,1,20171017,CLE,BOS,2017-18,2017-11-12T00:22:57.704
0021700001_12_202330,"Shot Chart Detail",0021700001,12,202330,"Gordon Hayward",1610612738,"Boston Celtics",1,11,21,"Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",25,-214,138,1,0,20171017,CLE,BOS,2017-18,2017-11-12T00:22:57.704
0021700001_135_1627759,"Shot Chart Detail",0021700001,135,1627759,"Jaylen Brown",1610612738,"Boston Celtics",1,2,17,"Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",25,-160,200,1,0,20171017,CLE,BOS,2017-18,2017-11-12T00:22:57.704
0021700001_137_201145,"Shot Chart Detail",0021700001,137,201145,"Jeff Green",1610612739,"Cleveland Cavaliers",1,2,3,"Missed Shot","Driving Floating Bank Jump Shot","2PT Field Goal","In The Paint (Non-RA)",Center(C),"Less Than 8 ft.",7,54,50,1,0,20171017,CLE,BOS,2017-18,2017-11-12T00:22:57.704
0021700001_139_203935,"Shot Chart Detail",0021700001,139,203935,"Marcus Smart",1610612738,"Boston Celtics",1,1,42,"Missed Shot","Jump Shot","2PT Field Goal",Mid-Range,"Left Side(L)","16-24 ft.",16,-168,21,1,0,20171017,CLE,BOS,2017-18,2017-11-12T00:22:57.704
0021700001_142_2747,"Shot Chart Detail",0021700001,142,2747,"JR Smith",1610612739,"Cleveland Cavaliers",1,1,26,"Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Right Side(R)","8-16 ft.",9,70,63,1,1,20171017,CLE,BOS,2017-18,2017-11-12T00:22:57.704
0021700001_146_203935,"Shot Chart Detail",0021700001,146,203935,"Marcus Smart",1610612738,"Boston Celtics",1,1,13,"Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)",Center(C),"8-16 ft.",10,-27,105,1,0,20171017,CLE,BOS,2017-18,2017-11-12T00:22:57.704
0021700001_14_201567,"Shot Chart Detail",0021700001,14,201567,"Kevin Love",1610612739,"Cleveland Cavaliers",1,11,2,"Missed Shot","Jump Shot","2PT Field Goal",Mid-Range,"Left Side(L)","8-16 ft.",15,-131,83,1,0,20171017,CLE,BOS,2017-18,2017-11-12T00:22:57.704
0021700001_151_1626179,"Shot Chart Detail",0021700001,151,1626179,"Terry Rozier",1610612738,"Boston Celtics",1,0,55,"Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)",Center(C),"8-16 ft.",8,-1,85,1,1,20171017,CLE,BOS,2017-18,2017-11-12T00:22:57.704
0021700001_152_2548,"Shot Chart Detail",0021700001,152,2548,"Dwyane Wade",1610612739,"Cleveland Cavaliers",1,0,41,"Made Shot","Jump Shot","2PT Field Goal",Mid-Range,"Right Side(R)","16-24 ft.",18,169,69,1,1,20171017,CLE,BOS,2017-18,2017-11-12T00:22:57.704
0021700001_160_1626179,"Shot Chart Detail",0021700001,160,1626179,"Terry Rozier",1610612738,"Boston Celtics",1,0,25,"Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3",Center(C),"24+ ft.",24,31,248,1,0,20171017,CLE,BOS,2017-18,2017-11-12T00:22:57.704
0021700001_162_202684,"Shot Chart Detail",0021700001,162,202684,"Tristan Thompson",1610612739,"Cleveland Cavaliers",1,0,0,"Missed Shot","Alley Oop Layup shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",2,13,17,1,0,20171017,CLE,BOS,2017-18,2017-11-12T00:22:57.704
0021700001_16_1628369,"Shot Chart Detail",0021700001,16,1628369,"Jayson Tatum",1610612738,"Boston Celtics",1,10,51,"Missed Shot","Cutting Layup Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",2,10,23,1,0,20171017,CLE,BOS,2017-18,2017-11-12T00:22:57.704
0021700001_174_201145,"Shot Chart Detail",0021700001,174,201145,"Jeff Green",1610612739,"Cleveland Cavaliers",2,11,45,"Missed Shot","Jump Shot","2PT Field Goal",Mid-Range,"Right Side(R)","8-16 ft.",15,98,115,1,0,20171017,CLE,BOS,2017-18,2017-11-12T00:22:57.704
0021700001_176_201143,"Shot Chart Detail",0021700001,176,201143,"Al Horford",1610612738,"Boston Celtics",2,11,25,"Made Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)",Center(C),"8-16 ft.",13,-52,128,1,1,20171017,CLE,BOS,2017-18,2017-11-12T00:22:57.704
0021700001_190_2544,"Shot Chart Detail",0021700001,190,2544,"LeBron James",1610612739,"Cleveland Cavaliers",2,10,28,"Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.",22,-228,-1,1,0,20171017,CLE,BOS,2017-18,2017-11-12T00:22:57.704
0021700001_194_2544,"Shot Chart Detail",0021700001,194,2544,"LeBron James",1610612739,"Cleveland Cavaliers",2,10,17,"Made Shot","Cutting Finger Roll Layup Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",0,8,1,1,1,20171017,CLE,BOS,2017-18,2017-11-12T00:22:57.704
0021700001_196_1628369,"Shot Chart Detail",0021700001,196,1628369,"Jayson Tatum",1610612738,"Boston Celtics",2,9,56,"Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",25,-107,233,1,0,20171017,CLE,BOS,2017-18,2017-11-12T00:22:57.704
0021700001_198_201565,"Shot Chart Detail",0021700001,198,201565,"Derrick Rose",1610612739,"Cleveland Cavaliers",2,9,48,"Missed Shot","Running Layup Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",0,3,8,1,0,20171017,CLE,BOS,2017-18,2017-11-12T00:22:57.704
0021700001_200_1626179,"Shot Chart Detail",0021700001,200,1626179,"Terry Rozier",1610612738,"Boston Celtics",2,9,33,"Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",26,-187,183,1,0,20171017,CLE,BOS,2017-18,2017-11-12T00:22:57.704
0021700001_202_2544,"Shot Chart Detail",0021700001,202,2544,"LeBron James",1610612739,"Cleveland Cavaliers",2,9,29,"Made Shot","Running Layup Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",0,3,9,1,1,20171017,CLE,BOS,2017-18,2017-11-12T00:22:57.704
0021700001_209_1628369,"Shot Chart Detail",0021700001,209,1628369,"Jayson Tatum",1610612738,"Boston Celtics",2,9,6,"Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",2,-12,22,1,0,20171017,CLE,BOS,2017-18,2017-11-12T00:22:57.704
0021700001_20_201143,"Shot Chart Detail",0021700001,20,201143,"Al Horford",1610612738,"Boston Celtics",1,10,48,"Made Shot","Jump Shot","2PT Field Goal",Mid-Range,Center(C),"16-24 ft.",19,47,190,1,1,20171017,CLE,BOS,2017-18,2017-11-12T00:22:57.704
0021700001_213_1628400,"Shot Chart Detail",0021700001,213,1628400,"Semi Ojeleye",1610612738,"Boston Celtics",2,8,41,"Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",25,-199,165,1,0,20171017,CLE,BOS,2017-18,2017-11-12T00:22:57.704
0021700001_217_1626179,"Shot Chart Detail",0021700001,217,1626179,"Terry Rozier",1610612738,"Boston Celtics",2,8,27,"Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",27,-183,199,1,1,20171017,CLE,BOS,2017-18,2017-11-12T00:22:57.704
0021700001_223_201565,"Shot Chart Detail",0021700001,223,201565,"Derrick Rose",1610612739,"Cleveland Cavaliers",2,8,19,"Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",0,-2,5,1,1,20171017,CLE,BOS,2017-18,2017-11-12T00:22:57.704
0021700001_242_1627759,"Shot Chart Detail",0021700001,242,1627759,"Jaylen Brown",1610612738,"Boston Celtics",2,7,22,"Missed Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",1,-8,15,1,0,20171017,CLE,BOS,2017-18,2017-11-12T00:22:57.704
0021700001_244_1627759,"Shot Chart Detail",0021700001,244,1627759,"Jaylen Brown",1610612738,"Boston Celtics",2,7,18,"Missed Shot","Putback Layup Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",1,6,12,1,0,20171017,CLE,BOS,2017-18,2017-11-12T00:22:57.704
0021700001_24_203109,"Shot Chart Detail",0021700001,24,203109,"Jae Crowder",1610612739,"Cleveland Cavaliers",1,10,21,"Made Shot","Jump Shot","2PT Field Goal",Mid-Range,"Right Side(R)","16-24 ft.",22,217,56,1,1,20171017,CLE,BOS,2017-18,2017-11-12T00:22:57.704
0021700001_254_1627759,"Shot Chart Detail",0021700001,254,1627759,"Jaylen Brown",1610612738,"Boston Celtics",2,6,45,"Made Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.",22,222,-3,1,1,20171017,CLE,BOS,2017-18,2017-11-12T00:22:57.704
0021700001_256_201567,"Shot Chart Detail",0021700001,256,201567,"Kevin Love",1610612739,"Cleveland Cavaliers",2,6,22,"Missed Shot","Cutting Layup Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",0,3,8,1,0,20171017,CLE,BOS,2017-18,2017-11-12T00:22:57.704
0021700001_258_201567,"Shot Chart Detail",0021700001,258,201567,"Kevin Love",1610612739,"Cleveland Cavaliers",2,6,10,"Made Shot","Putback Layup Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",0,0,-6,1,1,20171017,CLE,BOS,2017-18,2017-11-12T00:22:57.704
0021700001_259_1628400,"Shot Chart Detail",0021700001,259,1628400,"Semi Ojeleye",1610612738,"Boston Celtics",2,5,59,"Missed Shot","Jump Shot","2PT Field Goal",Mid-Range,"Right Side Center(RC)","16-24 ft.",18,141,115,1,0,20171017,CLE,BOS,2017-18,2017-11-12T00:22:57.704
0021700001_262_203109,"Shot Chart Detail",0021700001,262,203109,"Jae Crowder",1610612739,"Cleveland Cavaliers",2,5,52,"Made Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.",24,239,61,1,1,20171017,CLE,BOS,2017-18,2017-11-12T00:22:57.704
0021700001_264_1627759,"Shot Chart Detail",0021700001,264,1627759,"Jaylen Brown",1610612738,"Boston Celtics",2,5,44,"Made Shot","Layup Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",1,-11,15,1,1,20171017,CLE,BOS,2017-18,2017-11-12T00:22:57.704
0021700001_266_203109,"Shot Chart Detail",0021700001,266,203109,"Jae Crowder",1610612739,"Cleveland Cavaliers",2,5,35,"Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",27,150,225,1,0,20171017,CLE,BOS,2017-18,2017-11-12T00:22:57.704
0021700001_274_203109,"Shot Chart Detail",0021700001,274,203109,"Jae Crowder",1610612739,"Cleveland Cavaliers",2,5,15,"Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",3,-9,35,1,0,20171017,CLE,BOS,2017-18,2017-11-12T00:22:57.704
0021700001_276_203935,"Shot Chart Detail",0021700001,276,203935,"Marcus Smart",1610612738,"Boston Celtics",2,5,6,"Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",25,-126,220,1,0,20171017,CLE,BOS,2017-18,2017-11-12T00:22:57.704
0021700001_278_203109,"Shot Chart Detail",0021700001,278,203109,"Jae Crowder",1610612739,"Cleveland Cavaliers",2,4,48,"Missed Shot","Turnaround Jump Shot","2PT Field Goal",Mid-Range,"Left Side(L)","8-16 ft.",13,-125,38,1,0,20171017,CLE,BOS,2017-18,2017-11-12T00:22:57.704
0021700001_280_202681,"Shot Chart Detail",0021700001,280,202681,"Kyrie Irving",1610612738,"Boston Celtics",2,4,27,"Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",29,-196,227,1,0,20171017,CLE,BOS,2017-18,2017-11-12T00:22:57.704
0021700001_282_2544,"Shot Chart Detail",0021700001,282,2544,"LeBron James",1610612739,"Cleveland Cavaliers",2,4,15,"Made Shot","Driving Floating Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Right Side(R)","8-16 ft.",9,70,68,1,1,20171017,CLE,BOS,2017-18,2017-11-12T00:22:57.704
0021700001_283_203935,"Shot Chart Detail",0021700001,283,203935,"Marcus Smart",1610612738,"Boston Celtics",2,3,50,"Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",26,-107,242,1,0,20171017,CLE,BOS,2017-18,2017-11-12T00:22:57.704
0021700001_285_203109,"Shot Chart Detail",0021700001,285,203109,"Jae Crowder",1610612739,"Cleveland Cavaliers",2,3,40,"Made Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",1,14,3,1,1,20171017,CLE,BOS,2017-18,2017-11-12T00:22:57.704
0021700001_293_202681,"Shot Chart Detail",0021700001,293,202681,"Kyrie Irving",1610612738,"Boston Celtics",2,3,17,"Made Shot","Step Back Jump shot","2PT Field Goal",Mid-Range,"Right Side(R)","16-24 ft.",17,162,73,1,1,20171017,CLE,BOS,2017-18,2017-11-12T00:22:57.704
