primaryKey,season,dt,playerId,playerName,teamId,player1Id,player2Id,player3Id,player4Id,player5Id,player1Name,player2Name,player3Name,player4Name,player5Name,points,assists,rebounds,fouls,foulsDrawn,turnovers,steals,blocks,fieldGoalAttempts,fieldGoals,assistedFieldGoals,threePtAttempts,threePtMade,assisted3PtMade,freeThrowAttempts,freeThrowsMade,possessions,seconds
1626185_1626150_1626185_1626205_1627738_1628397_2017-18,2017-18,2018-04-21T23:23:23.479,1626185,"Jarell Martin",1610612763,1626150,1626185,1626205,1627738,1628397,"Andrew Harrison","Jarell Martin","Vincent Hunter","Deyonta Davis","Ivan Rabb",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,27
1626185_1626150_1626185_1627738_1627782_1628415_2017-18,2017-18,2018-04-21T23:23:23.479,1626185,"Jarell Martin",1610612763,1626150,1626185,1627738,1627782,1628415,"Andrew Harrison","Jarell Martin","Deyonta Davis","Wayne Selden","Dillon Brooks",8,2,1,1,1,1,0,0,3,3,2,0,0,0,3,2,8,100
1626185_1626150_1626185_1627738_1627782_1628424_2017-18,2017-18,2018-04-21T23:23:23.479,1626185,"Jarell Martin",1610612763,1626150,1626185,1627738,1627782,1628424,"Andrew Harrison","Jarell Martin","Deyonta Davis","Wayne Selden","Kobi Simmons",2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,15
1626185_1626150_1626185_1627744_1627988_1628397_2017-18,2017-18,2018-04-21T23:23:23.479,1626185,"Jarell Martin",1610612763,1626150,1626185,1627744,1627988,1628397,"Andrew Harrison","Jarell Martin","Brice Johnson","Myke Henry","Ivan Rabb",3,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,2,29
1626185_1626150_1626185_1627988_1628397_1628415_2017-18,2017-18,2018-04-21T23:23:23.479,1626185,"Jarell Martin",1610612763,1626150,1626185,1627988,1628397,1628415,"Andrew Harrison","Jarell Martin","Myke Henry","Ivan Rabb","Dillon Brooks",2,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,2,38
1626185_1626185_1627362_1627738_1627782_1628415_2017-18,2017-18,2018-04-21T23:23:23.479,1626185,"Jarell Martin",1610612763,1626185,1627362,1627738,1627782,1628415,"Jarell Martin","Briante Weber","Deyonta Davis","Wayne Selden","Dillon Brooks",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
1626185_1626185_1627738_1627782_1627988_1628415_2017-18,2017-18,2018-04-21T23:23:23.479,1626185,"Jarell Martin",1610612763,1626185,1627738,1627782,1627988,1628415,"Jarell Martin","Deyonta Davis","Wayne Selden","Myke Henry","Dillon Brooks",2,0,1,0,0,2,0,0,2,1,1,0,0,0,0,0,5,77
1626185_1626185_1627738_1628397_1628415_1628424_2017-18,2017-18,2018-04-21T23:23:23.479,1626185,"Jarell Martin",1610612763,1626185,1627738,1628397,1628415,1628424,"Jarell Martin","Deyonta Davis","Ivan Rabb","Dillon Brooks","Kobi Simmons",3,0,0,1,0,0,0,0,2,1,1,1,1,1,0,0,3,42
1626185_1626185_1627744_1627782_1627988_1628424_2017-18,2017-18,2018-04-21T23:23:23.479,1626185,"Jarell Martin",1610612763,1626185,1627744,1627782,1627988,1628424,"Jarell Martin","Brice Johnson","Wayne Selden","Myke Henry","Kobi Simmons",2,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,2,37
1626185_201144_201148_201936_1626185_1628415_2017-18,2017-18,2018-04-21T23:23:23.479,1626185,"Jarell Martin",1610612763,201144,201148,201936,1626185,1628415,"Mike Conley","Brandan Wright","Tyreke Evans","Jarell Martin","Dillon Brooks",0,0,2,2,2,1,0,1,3,0,0,1,0,0,0,0,9,142
1626185_201144_201148_203516_1626150_1626185_2017-18,2017-18,2018-04-21T23:23:23.479,1626185,"Jarell Martin",1610612763,201144,201148,203516,1626150,1626185,"Mike Conley","Brandan Wright","James Ennis III","Andrew Harrison","Jarell Martin",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,12
1626185_201144_201188_1626150_1626185_1628415_2017-18,2017-18,2018-04-21T23:23:23.479,1626185,"Jarell Martin",1610612763,201144,201188,1626150,1626185,1628415,"Mike Conley","Marc Gasol","Andrew Harrison","Jarell Martin","Dillon Brooks",0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,3,27
1626185_201144_201188_201596_1626185_1628415_2017-18,2017-18,2018-04-21T23:23:23.479,1626185,"Jarell Martin",1610612763,201144,201188,201596,1626185,1628415,"Mike Conley","Marc Gasol","Mario Chalmers","Jarell Martin","Dillon Brooks",0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,4,51
1626185_201144_201188_201596_201936_1626185_2017-18,2017-18,2018-04-21T23:23:23.479,1626185,"Jarell Martin",1610612763,201144,201188,201596,201936,1626185,"Mike Conley","Marc Gasol","Mario Chalmers","Tyreke Evans","Jarell Martin",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,11
1626185_201144_201188_201596_203516_1626185_2017-18,2017-18,2018-04-21T23:23:23.479,1626185,"Jarell Martin",1610612763,201144,201188,201596,203516,1626185,"Mike Conley","Marc Gasol","Mario Chalmers","James Ennis III","Jarell Martin",4,0,2,3,0,1,0,0,4,2,1,1,0,0,0,0,8,96
