,playerName,playerId,RimAttempt O,RimAttempt D
0,Vince Carter,1713,3.754201044,-3.131278295
1,Dirk Nowitzki,1717,-2.800264758,2.610170429
2,Paul Pierce,1718,-2.352660675,2.970547533
3,Jason Terry,1891,2.653879757,-3.491427685
4,Metta World Peace,1897,-0.243011921,-0.547089554
5,Manu Ginobili,1938,6.391710985,-3.150395478
6,Mike Miller,2034,0.008671947,0.301972898
7,Jamal Crawford,2037,5.877273067,-6.206657033
8,Tyson Chandler,2199,1.614843584,1.224181768
9,Pau Gasol,2200,0.231032011,0.900364454
10,Joe Johnson,2207,-0.023754471,-4.285066002
11,Richard Jefferson,2210,2.478356412,-2.385364584
12,Zach Randolph,2216,0.937270149,-3.740668991
13,Tony Parker,2225,0.173802334,-2.865021829
14,Mike Dunleavy,2399,1.332991069,-1.419671211
15,Nene,2403,1.54542955,-1.782072394
16,Matt Barnes,2440,4.02068163,-1.811424083
17,LeBron James,2544,1.87029078,-0.117621189
18,Carmelo Anthony,2546,2.766452454,-2.956601581
19,Dwyane Wade,2548,0.218249572,-0.322545769
20,Nick Collison,2555,2.983275116,-3.1921543
21,David West,2561,1.306167393,-0.177718957
22,Boris Diaw,2564,6.824103814,-1.781419745
23,Leandro Barbosa,2571,2.845441664,-2.554631954
24,Zaza Pachulia,2585,-0.984225919,-0.441195772
25,James Jones,2592,-1.615303217,-1.013392079
26,Kyle Korver,2594,4.100872095,-2.013831201
27,Udonis Haslem,2617,-0.485193082,-2.6068139
28,Dwight Howard,2730,1.896357784,0.472117488
29,Shaun Livingston,2733,1.365487901,-1.694442269
30,Devin Harris,2734,5.402990082,-4.936692069
31,Luol Deng,2736,1.047693318,-1.356541688
32,Andre Iguodala,2738,2.49569191,-4.372764221
33,Kris Humphries,2743,-0.101637124,-1.579701561
34,Al Jefferson,2744,0.280831963,0.215991091
35,JR Smith,2747,2.486139696,-1.792718502
36,Jameer Nelson,2749,0.463977778,-1.537303658
37,Tony Allen,2754,2.303882235,-0.553747779
38,Sasha Vujacic,2756,-0.102399711,-3.21405261
39,Beno Udrih,2757,0.576188762,0.247147456
40,Trevor Ariza,2772,1.362607345,-0.820668648
41,Marvin Williams,101107,-0.37675786,-0.884345407
42,Chris Paul,101108,0.264371339,-2.265089607
43,Raymond Felton,101109,2.980239158,-1.799851446
44,Channing Frye,101112,0.423501682,0.568672533
45,Deron Williams,101114,0.156113083,-2.627671781
46,Gerald Green,101123,0.130656524,-1.397113101
47,Ian Mahinmi,101133,1.499686839,-1.68307665
48,David Lee,101135,3.79348757,-1.917804802
49,Brandon Bass,101138,0.870445122,-2.592132619
50,CJ Miles,101139,0.529099757,-2.717484749
51,Ersan Ilyasova,101141,3.602213197,-3.175123132
52,Monta Ellis,101145,2.796509035,-3.708074719
53,Lou Williams,101150,4.321989222,-3.16912519
54,Amir Johnson,101161,-2.882582044,2.139668573
55,Marcin Gortat,101162,-1.842869184,1.151513303
